Event Day,Aircraft Fleet,Aircraft Fleet Index,Aircraft Type,Airport,Usable
0,STRATEGIC,3,C-5A,MYXZ,0
0,STRATEGIC,3,C-5A,NKAK,0
0,STRATEGIC,3,C-5A,NNGX,0
0,STRATEGIC,3,C-5A,NRCH,0
0,STRATEGIC,3,C-5A,NUEX,0
0,STRATEGIC,3,C-5A,NVZR,0
0,STRATEGIC,3,C-5A,NWXN,0
0,STRATEGIC,3,C-5A,NZAS,0
0,STRATEGIC,3,C-5A,OPA1,0
0,STRATEGIC,3,C-5A,PCZP,0
0,STRATEGIC,3,C-5A,PJVY,0
0,STRATEGIC,3,C-5A,PNQS,0
0,STRATEGIC,3,C-5A,PQWY,0
0,STRATEGIC,3,C-5A,PRQE,0
0,STRATEGIC,3,C-5A,PSXE,0
0,STRATEGIC,3,C-5A,PTFL,0
0,STRATEGIC,3,C-5A,QFQE,0
0,STRATEGIC,3,C-5A,QJKL,0
0,STRATEGIC,3,C-5A,QJVF,0
0,STRATEGIC,3,C-5A,QKJA,0
0,STRATEGIC,3,C-5A,QSEU,0
0,STRATEGIC,3,C-5A,QYZH,0
0,STRATEGIC,3,C-5A,RDRD,0
0,STRATEGIC,3,C-5A,RKMF,0
0,STRATEGIC,3,C-5A,RZQH,0
0,STRATEGIC,3,C-5A,SBDW,0
0,STRATEGIC,3,C-5A,SCEY,0
0,STRATEGIC,3,C-5A,SEA1,0
0,STRATEGIC,3,C-5A,SGBP,0
0,STRATEGIC,3,C-5A,SHYQ,0
0,STRATEGIC,3,C-5A,SMYU,0
0,STRATEGIC,3,C-5A,STRL,0
0,STRATEGIC,3,C-5A,SXHT,0
0,STRATEGIC,3,C-5A,TDHV,0
0,STRATEGIC,3,C-5A,THWA,0
0,STRATEGIC,3,C-5A,TKXA,0
0,STRATEGIC,3,C-5A,TMKH,0
0,STRATEGIC,3,C-5A,TYFR,0
0,STRATEGIC,3,C-5A,UGZX,0
0,STRATEGIC,3,C-5A,UHGN,0
0,STRATEGIC,3,C-5A,UHHZ,0
0,STRATEGIC,3,C-5A,ULLT,0
0,STRATEGIC,3,C-5A,UMXB,0
0,STRATEGIC,3,C-5A,VDYD,0
0,STRATEGIC,3,C-5A,VGHV,0
0,STRATEGIC,3,C-5A,VKAG,0
0,STRATEGIC,3,C-5A,VLSB,0
0,STRATEGIC,3,C-5A,VRJT,0
0,STRATEGIC,3,C-5A,VSMR,0
0,STRATEGIC,3,C-5A,VWLB,0
0,STRATEGIC,3,C-5A,VYHK,0
0,STRATEGIC,3,C-5A,WEAS,0
0,STRATEGIC,3,C-5A,WSVC,0
0,STRATEGIC,3,C-5A,WWYK,0
0,STRATEGIC,3,C-5A,XBGX,0
0,STRATEGIC,3,C-5A,XDAT,0
0,STRATEGIC,3,C-5A,XLWU,0
0,STRATEGIC,3,C-5A,XQDT,0
0,STRATEGIC,3,C-5A,XUMU,0
0,STRATEGIC,3,C-5A,YAQF,0
0,STRATEGIC,3,C-5A,YTPM,0
0,STRATEGIC,3,C-5A,YWHG,0
0,STRATEGIC,3,C-5A,ZAWN,0
0,STRATEGIC,3,C-5A,ZFKN,0
0,STRATEGIC,3,C-5A,ZHTV,0
0,STRATEGIC,3,C-5A,ZJXD,0
0,STRATEGIC,3,C-5A,ZNRE,0
0,STRATEGIC,3,C-5A,ZRCE,0
0,STRATEGIC,4,CH47,AEDY,0
0,STRATEGIC,4,CH47,AGGN,0
0,STRATEGIC,4,CH47,AJJY,0
0,STRATEGIC,4,CH47,AJXF,0
0,STRATEGIC,4,CH47,AQLM,0
0,STRATEGIC,4,CH47,ASHE,0
0,STRATEGIC,4,CH47,ATXK,0
0,STRATEGIC,4,CH47,AVXV,0
0,STRATEGIC,4,CH47,AWUB,0
0,STRATEGIC,4,CH47,BAEY,0
0,STRATEGIC,4,CH47,BBJM,0
0,STRATEGIC,4,CH47,BJHZ,0
0,STRATEGIC,4,CH47,BPWZ,0
0,STRATEGIC,4,CH47,BQWK,0
0,STRATEGIC,4,CH47,BRKR,0
0,STRATEGIC,4,CH47,BWKR,0
0,STRATEGIC,4,CH47,BXUR,0
0,STRATEGIC,4,CH47,CTGC,0
0,STRATEGIC,4,CH47,CWKW,0
0,STRATEGIC,4,CH47,CYWF,0
0,STRATEGIC,4,CH47,CZQZ,0
0,STRATEGIC,4,CH47,DDPF,0
0,STRATEGIC,4,CH47,DESR,0
0,STRATEGIC,4,CH47,DKFX,0
0,STRATEGIC,4,CH47,DNNL,0
0,STRATEGIC,4,CH47,DPNB,0
0,STRATEGIC,4,CH47,DVLK,0
0,STRATEGIC,4,CH47,DYCS,0
0,STRATEGIC,4,CH47,ETZB,0
0,STRATEGIC,4,CH47,EYBD,0
0,STRATEGIC,4,CH47,FAXN,0
0,STRATEGIC,4,CH47,FBNV,0
0,STRATEGIC,4,CH47,FGDC,0
0,STRATEGIC,4,CH47,FGWB,0
0,STRATEGIC,4,CH47,FJXT,0
0,STRATEGIC,4,CH47,FNWZ,0
0,STRATEGIC,4,CH47,FTEP,0
0,STRATEGIC,4,CH47,FTEV,0
0,STRATEGIC,4,CH47,FTFA,0
0,STRATEGIC,4,CH47,FTZH,0
0,STRATEGIC,4,CH47,FUQN,0
0,STRATEGIC,4,CH47,FUZD,0
0,STRATEGIC,4,CH47,FXSB,0
0,STRATEGIC,4,CH47,GAMH,0
0,STRATEGIC,4,CH47,GHLN,0
0,STRATEGIC,4,CH47,GJKZ,0
0,STRATEGIC,4,CH47,GKVB,0
0,STRATEGIC,4,CH47,GUQE,0
0,STRATEGIC,4,CH47,GYRZ,0
0,STRATEGIC,4,CH47,HNTK,0
0,STRATEGIC,4,CH47,HPBF,0
0,STRATEGIC,4,CH47,HTUX,0
0,STRATEGIC,4,CH47,HUUA,0
0,STRATEGIC,4,CH47,JEAH,0
0,STRATEGIC,4,CH47,JFSD,0
0,STRATEGIC,4,CH47,JREZ,0
0,STRATEGIC,4,CH47,KJGW,0
0,STRATEGIC,4,CH47,KNMD,0
0,STRATEGIC,4,CH47,KRSM,0
0,STRATEGIC,4,CH47,KWRD,0
0,STRATEGIC,4,CH47,KYJL,0
0,STRATEGIC,4,CH47,KZTV,0
