Ship Type,Berth Type,Commodity Class,Transfer Rate
CAR TRANS,BBULK/AMMO,AF-PREPO,0
CAR TRANS,BBULK/AMMO,MARINE-PREPO,0
CAR TRANS,BBULK/AMMO,ARMY-PREPO,0
CAR TRANS,BBULK/AMMO,AIRBORNE,0
CAR TRANS,BBULK/CONTNR,AF-AIRCRAFT,0
CAR TRANS,BBULK/CONTNR,AF-SUPPORT,4600
CAR TRANS,BBULK/CONTNR,AF-PREPO,4600
CAR TRANS,BBULK/CONTNR,MARINE-PREPO,0
CAR TRANS,BBULK/CONTNR,ARMY-PREPO,0
CAR TRANS,BBULK/CONTNR,AIRBORNE,0
CAR TRANS,BBULK/RORO,AF-AIRCRAFT,0
CAR TRANS,BBULK/RORO,AF-SUPPORT,4600
CAR TRANS,BBULK/RORO,AF-PREPO,4600
CAR TRANS,BBULK/RORO,MARINE-PREPO,0
CAR TRANS,BBULK/RORO,ARMY-PREPO,0
CAR TRANS,BBULK/RORO,AIRBORNE,0
CAR TRANS,BREAKBULK,AF-AIRCRAFT,0
CAR TRANS,BREAKBULK,AF-SUPPORT,0
CAR TRANS,BREAKBULK,AF-PREPO,0
CAR TRANS,BREAKBULK,MARINE-PREPO,0
CAR TRANS,BREAKBULK,ARMY-PREPO,0
CAR TRANS,BREAKBULK,AIRBORNE,0
CAR TRANS,CONT/AMMO,AF-AIRCRAFT,0
CAR TRANS,CONT/AMMO,AF-SUPPORT,0
CAR TRANS,CONT/AMMO,AF-PREPO,0
CAR TRANS,CONT/AMMO,MARINE-PREPO,0
CAR TRANS,CONT/AMMO,ARMY-PREPO,0
CAR TRANS,CONT/AMMO,AIRBORNE,0
CAR TRANS,CONTAINER,AF-AIRCRAFT,0
CAR TRANS,CONTAINER,AF-SUPPORT,0
CAR TRANS,CONTAINER,AF-PREPO,0
CAR TRANS,CONTAINER,MARINE-PREPO,0
CAR TRANS,CONTAINER,ARMY-PREPO,0
CAR TRANS,CONTAINER,AIRBORNE,0
CAR TRANS,DOCK,AF-AIRCRAFT,0
CAR TRANS,DOCK,AF-SUPPORT,0
CAR TRANS,DOCK,AF-PREPO,0
CAR TRANS,DOCK,MARINE-PREPO,0
CAR TRANS,DOCK,ARMY-PREPO,0
CAR TRANS,DOCK,AIRBORNE,0
CAR TRANS,GENERAL PURP,AF-AIRCRAFT,0
CAR TRANS,GENERAL PURP,AF-SUPPORT,4600
CAR TRANS,GENERAL PURP,AF-PREPO,4600
CAR TRANS,GENERAL PURP,MARINE-PREPO,0
CAR TRANS,GENERAL PURP,ARMY-PREPO,5000
CAR TRANS,GENERAL PURP,AIRBORNE,0
CAR TRANS,INTRA WATER,AF-AIRCRAFT,0
CAR TRANS,INTRA WATER,AF-SUPPORT,0
CAR TRANS,INTRA WATER,AF-PREPO,0
CAR TRANS,INTRA WATER,MARINE-PREPO,0
CAR TRANS,INTRA WATER,ARMY-PREPO,0
CAR TRANS,INTRA WATER,AIRBORNE,0
CAR TRANS,JLOTS,AF-AIRCRAFT,0
CAR TRANS,JLOTS,AF-SUPPORT,0
CAR TRANS,JLOTS,AF-PREPO,0
CAR TRANS,JLOTS,MARINE-PREPO,0
CAR TRANS,JLOTS,ARMY-PREPO,0
CAR TRANS,JLOTS,AIRBORNE,0
CAR TRANS,LIGHTER,AF-AIRCRAFT,0
CAR TRANS,LIGHTER,AF-SUPPORT,0
CAR TRANS,LIGHTER,AF-PREPO,0
CAR TRANS,LIGHTER,MARINE-PREPO,0
CAR TRANS,LIGHTER,ARMY-PREPO,0
CAR TRANS,LIGHTER,AIRBORNE,0
CAR TRANS,OTHER,AF-AIRCRAFT,0
CAR TRANS,OTHER,AF-SUPPORT,0
CAR TRANS,OTHER,AF-PREPO,0
CAR TRANS,OTHER,MARINE-PREPO,0
CAR TRANS,OTHER,ARMY-PREPO,0
CAR TRANS,OTHER,AIRBORNE,0
CAR TRANS,RORO,AF-AIRCRAFT,0
CAR TRANS,RORO,AF-SUPPORT,4600
CAR TRANS,RORO,AF-PREPO,4600
CAR TRANS,RORO,MARINE-PREPO,0
CAR TRANS,RORO,ARMY-PREPO,0
CAR TRANS,RORO,AIRBORNE,0
CAR TRANS,RORO/CONTNR,AF-AIRCRAFT,0
CAR TRANS,RORO/CONTNR,AF-SUPPORT,4600
CAR TRANS,RORO/CONTNR,AF-PREPO,4600
CAR TRANS,RORO/CONTNR,MARINE-PREPO,0
CAR TRANS,RORO/CONTNR,ARMY-PREPO,0
CAR TRANS,RORO/CONTNR,AIRBORNE,0
CAR TRANS,TANKER,AF-AIRCRAFT,0
CAR TRANS,TANKER,AF-SUPPORT,0
CAR TRANS,TANKER,AF-PREPO,0
CAR TRANS,TANKER,MARINE-PREPO,0
CAR TRANS,TANKER,ARMY-PREPO,0
CAR TRANS,TANKER,AIRBORNE,0
CAR TRANS,VISA,AF-AIRCRAFT,0
CAR TRANS,VISA,AF-SUPPORT,0
CAR TRANS,VISA,AF-PREPO,0
CAR TRANS,VISA,MARINE-PREPO,0
CAR TRANS,VISA,ARMY-PREPO,0
CAR TRANS,VISA,AIRBORNE,0
CLF,ALL-PURPOSE,AF-AIRCRAFT,0
CLF,ALL-PURPOSE,AF-SUPPORT,1800
CLF,ALL-PURPOSE,AF-PREPO,1800
CLF,ALL-PURPOSE,MARINE-PREPO,3500
CLF,ALL-PURPOSE,ARMY-PREPO,5000
CLF,ALL-PURPOSE,AIRBORNE,0
CLF,BARGE,AF-AIRCRAFT,0
CLF,BARGE,AF-SUPPORT,0
CLF,BARGE,AF-PREPO,0
CLF,BARGE,MARINE-PREPO,0
CLF,BARGE,ARMY-PREPO,0
CLF,BARGE,AIRBORNE,0
CLF,BBULK/AMMO,AF-AIRCRAFT,0
CLF,BBULK/AMMO,AF-SUPPORT,0
CLF,BBULK/AMMO,AF-PREPO,0
