Name,Active,Quantity,CraneType,SeaportName,GeolocCode,BerthName,BerthType,FromDay,ToDay,NumBerthsServed,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,AvailableForMilitary
BBNVGENERAL PU03_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU03,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU04_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU04,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU05_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU05,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU06_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU06,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU07_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU07,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU08_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU08,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU09_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU09,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BQWAVISA      01_Crane,true,1,MOBILE,MUHAMMAD QASIM,BQWA,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
BQWAVISA      01_Crane,true,1,MOBILE,MUHAMMAD QASIM,BQWA,BQWAVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
Container: BSRL berth container 1,true,1,CONTAINER,BIZERTE,BSRL,N/A,N/A,-999,8192,1,4000,4000,144,144,true
Container: BSRL berth general purpose 1,true,1,CONTAINER,BIZERTE,BSRL,N/A,N/A,-999,8192,1,4000,4000,144,144,true
Gantry: BSRL berth container 1,true,1,GANTRY,BIZERTE,BSRL,N/A,N/A,-999,8192,1,8000,8000,288,288,true
Gantry: BSRL berth general purpose 1,true,1,GANTRY,BIZERTE,BSRL,N/A,N/A,-999,8192,1,8000,8000,288,288,true
MobCranes: BIZERTE -BSRL-PRT,true,2,MOBILE,BIZERTE,BSRL,N/A,N/A,-999,8192,2,3000,3000,100,100,true
Container: BSRL berth container 1,true,1,CONTAINER,BIZERTE,BSRL,BSRL berth container,CONTAINER,-999,8192,1,4000,4000,144,144,true
Gantry: BSRL berth container 1,true,1,GANTRY,BIZERTE,BSRL,BSRL berth container,CONTAINER,-999,8192,1,8000,8000,288,288,true
MobCranes: BIZERTE -BSRL-PRT,true,2,MOBILE,BIZERTE,BSRL,BSRL berth container,CONTAINER,-999,8192,2,3000,3000,100,100,true
Container: BSRL berth general purpose 1,true,1,CONTAINER,BIZERTE,BSRL,BSRL berth general purpose,GENERAL PURP,-999,8192,1,4000,4000,144,144,true
Gantry: BSRL berth general purpose 1,true,1,GANTRY,BIZERTE,BSRL,BSRL berth general purpose,GENERAL PURP,-999,8192,1,8000,8000,288,288,true
MobCranes: BIZERTE -BSRL-PRT,true,2,MOBILE,BIZERTE,BSRL,BSRL berth general purpose,GENERAL PURP,-999,8192,2,3000,3000,100,100,true
CHCYBBULK/RORO01_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
CHCYBBULK/RORO02_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
CHCYBBULK/RORO03_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
CHCYGENERAL PU01_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
CHCYGENERAL PU02_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
CHCYGENERAL PU03_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
CHCYBBULK/RORO01_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,CHCYBBULK/RORO01,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
CHCYBBULK/RORO02_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,CHCYBBULK/RORO02,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
