Name,Active,BeachType,BerthType,SeaportName,GeolocCode,BerthGroupName,FromDay,ToDay,PreviousBerthName,NextBerthName,NumContainerCranes,NumGantryCranes,NumMobileCranes,NumWharfCranes,ShipSpacing,Length,Depth,ApronWidth,NumPolPumps,TankerLoadRatePerShip,HotCargoAllowed
LUTPBBULK/RORO07,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO07,0,99999,null,null,0,0,1,0,50,3690,44,60,0,2000,Both
LUTPBBULK/RORO08,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO08,0,99999,null,null,0,0,1,0,50,2460,36,60,0,2000,Both
LUTPBBULK/RORO09,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO09,0,99999,null,null,0,0,1,0,50,656,36,60,0,2000,Both
LUTPBBULK/RORO10,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO10,0,99999,null,null,0,0,1,0,50,1722,39,60,0,2000,Both
LUTPBBULK/RORO11,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO11,0,99999,null,null,0,0,1,0,50,1640,36,60,0,2000,Both
LUTPGENERAL PU01,false,null,GENERAL PURP,JEDDAH,LUTP,LUTPGENERAL PU01,0,99999,null,null,0,0,1,0,50,7052,39,60,0,2000,Both
LUTPGENERAL PU02,false,null,GENERAL PURP,JEDDAH,LUTP,LUTPGENERAL PU02,0,99999,null,null,0,0,1,0,50,5330,44,60,0,2000,Both
LUTPRORO      01,true,null,RORO,JEDDAH,LUTP,LUTPRORO      01,0,99999,null,null,0,0,1,0,50,1476,44,60,0,2000,Both
LUTPVISA      01,true,null,VISA,JEDDAH,LUTP,LUTPVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
LWEVBBULK/RORO01,true,null,BBULK/RORO,JUBAIL PORT,LWEV,LWEVBBULK/RORO01,0,99999,null,null,0,0,1,0,50,3280,44,60,0,2000,Both
LWEVGENERAL PU01,true,null,GENERAL PURP,JUBAIL PORT,LWEV,LWEVGENERAL PU01,0,99999,null,null,0,0,1,0,50,1968,44,60,0,2000,Both
LWEVGENERAL PU02,true,null,GENERAL PURP,JUBAIL PORT,LWEV,LWEVGENERAL PU02,0,99999,null,null,0,0,1,0,50,1640,44,60,0,2000,Both
LWEVGENERAL PU03,true,null,GENERAL PURP,JUBAIL PORT,LWEV,LWEVGENERAL PU03,0,99999,null,null,0,0,1,0,50,5562,37,60,0,2000,Both
LYAPVISA      01,true,null,VISA,KANDLA,LYAP,LYAPVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
LYRVVISA      01,true,null,VISA,KAOHSIUNG TSOYING,LYRV,LYRVVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
LYTMJLOTS     01,true,null,JLOTS,KARACHI,LYTM,LYTMJLOTS     01,0,99999,null,null,0,0,1,0,50,3000,40,60,0,500,Both
LYTMVISA      01,false,null,VISA,KARACHI,LYTM,LYTMVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
MKAGVISA      01,true,null,VISA,KOBE,MKAG,MKAGVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
MLDLGENERAL PU01,true,null,GENERAL PURP,KOPER,MLDL,MLDLGENERAL PU01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
MLDLVISA      01,true,null,VISA,KOPER,MLDL,MLDLVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
MMGHGENERAL PU01,true,null,GENERAL PURP,KWANGYANG,MMGH,MMGHGENERAL PU01,0,99999,null,null,0,0,1,0,50,2361,39,60,0,2000,Both
MMGHGENERAL PU02,true,null,GENERAL PURP,KWANGYANG,MMGH,MMGHGENERAL PU02,0,99999,null,null,0,0,1,0,50,918,46,60,0,2000,Both
MMGHGENERAL PU03,true,null,GENERAL PURP,KWANGYANG,MMGH,MMGHGENERAL PU03,0,99999,null,null,0,0,1,0,50,787,37,60,0,2000,Both
MMGHGENERAL PU04,true,null,GENERAL PURP,KWANGYANG,MMGH,MMGHGENERAL PU04,0,99999,null,null,0,0,1,0,50,4362,46,60,0,2000,Both
MMGHRORO      01,true,null,RORO,KWANGYANG,MMGH,MMGHRORO      01,0,99999,null,null,0,0,1,0,50,2427,23,60,0,2000,Both
MMGHVISA      01,true,null,VISA,KWANGYANG,MMGH,MMGHVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
MZJKVISA      01,true,null,VISA,LE HAVRE,MZJK,MZJKVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
NBDYVISA      01,true,null,VISA,LIVORNO,NBDY,NBDYVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
NLFLGENERAL PU01,true,null,GENERAL PURP,LIVERPOOL,NLFL,NLFLGENERAL PU01,0,99999,null,null,0,0,1,0,50,2000,36,60,0,2000,Both
NNWHVISA      01,true,null,VISA,LOME,NNWH,NNWHVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
LONG BEACH all-purpose berth-NPTU,true,null,ALL-PURPOSE,LONG BEACH,NPTU,LONG BEACH berth group-NPTU,-999,99999,null,null,0,10,0,0,50,5000,55,120,0,2000,Both
NSANGENERAL PU01,false,null,GENERAL PURP,LOS ANGELES,NSAN,NSANGENERAL PU01,0,99999,null,null,0,0,1,0,50,1000,45,60,0,2000,Both
NSANVISA      01,true,null,VISA,LOS ANGELES,NSAN,NSANVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
PAXMVISA      01,true,null,VISA,MANILA,PAXM,PAXMVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
PCFCVISA      01,true,null,VISA,MANZANILLO,PCFC,PCFCVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
PCFGVISA      01,true,null,VISA,MANZANILLO,PCFG,PCFGVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
PKVPBBULK/RORO01,true,null,BBULK/RORO,MASAN,PKVP,PKVPBBULK/RORO01,0,99999,null,null,0,0,1,0,50,1377,30,60,0,2000,Both
PKVPBBULK/RORO02,true,null,BBULK/RORO,MASAN,PKVP,PKVPBBULK/RORO02,0,99999,null,null,0,0,1,0,50,1377,36,60,0,2000,Both
PKVPGENERAL PU01,true,null,GENERAL PURP,MASAN,PKVP,PKVPGENERAL PU01,0,99999,null,null,0,0,1,0,50,3444,33,60,0,2000,Both
QCFFVISA      01,true,null,VISA,MIAMI,QCFF,QCFFVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
QHPBBBULK/RORO01,true,null,BBULK/RORO,JEBEL ALI,QHPB,QHPBBBULK/RORO01,0,99999,null,null,0,0,1,0,50,6156,37,60,0,2000,Both
QHPBBBULK/RORO02,false,null,BBULK/RORO,JEBEL ALI,QHPB,QHPBBBULK/RORO02,0,99999,null,null,0,0,1,0,50,7692,37,60,0,2000,Both
QHPBBBULK/RORO03,false,null,BBULK/RORO,JEBEL ALI,QHPB,QHPBBBULK/RORO03,0,99999,null,null,0,0,1,0,50,3078,37,60,0,2000,Both
QHPBGENERAL PU01,true,null,GENERAL PURP,JEBEL ALI,QHPB,QHPBGENERAL PU01,0,99999,null,null,0,0,1,0,50,4001,43,60,0,2000,Both
QHPBVISA      01,true,null,VISA,JEBEL ALI,QHPB,QHPBVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
QHPDBBULK/RORO01,true,null,BBULK/RORO,MINA SAQR,QHPD,QHPDBBULK/RORO01,0,99999,null,null,0,0,1,0,50,656,37,60,0,2000,Both
QHPDBBULK/RORO02,false,null,BBULK/RORO,MINA SAQR,QHPD,QHPDBBULK/RORO02,0,99999,null,null,0,0,1,0,50,1312,37,60,0,2000,Both
QHPDGENERAL PU01,true,null,GENERAL PURP,MINA SAQR,QHPD,QHPDGENERAL PU01,0,99999,null,null,0,0,1,0,50,1968,37,60,0,2000,Both
QHPFBBULK/RORO01,false,null,BBULK/RORO,MINA ZAYED,QHPF,QHPFBBULK/RORO01,0,99999,null,null,0,0,1,0,50,3050,31,60,0,2000,Both
QHPFBBULK/RORO02,false,null,BBULK/RORO,MINA ZAYED,QHPF,QHPFBBULK/RORO02,0,99999,null,null,0,0,1,0,50,656,34,60,0,2000,Both
QHPFBBULK/RORO03,false,null,BBULK/RORO,MINA ZAYED,QHPF,QHPFBBULK/RORO03,0,99999,null,null,0,0,1,0,50,1902,37,60,0,2000,Both
