geoloc,berthid,berthtype,draft,avail,len,cap,ute,lat,lon
VKNP,BG Safaqis cont-2 berth,1,34,0,1640,99999,0.6,34.733334,10.766666
VKNP,BG Safaqis NE-1 berth,5,34,0,1656,99999,0.6,34.733334,10.766666
VKNP,BG Safaqis NE-2 berth,5,46,0,1656,99999,0.6,34.733334,10.766666
VKNP,BG Safaqis NW-1 berth,5,35,0,1804,99999,0.6,34.733334,10.766666
VKNP,BG Safaqis tanker berth,17,44,0,1000,99999,0.6,34.733334,10.766666
VKNP,BG Safaqis NW-2 berth,5,35,0,1804,99999,0.6,34.733334,10.766666
VKNP,BG SALT,6,34,0,492,99999,0.6,34.733334,10.766666
VPRF,VPRFVISA      01,18,99,0,9999,99999,1,35.004166,138.49945
VSNF,VSNFVISA      01,18,99,0,9999,99999,1,1.35,103.916664
WMPT,WMPTBBULK/AMMO01,3,38,0,2000,99999,1,33.983334,-77.933334
WMPT,WMPTBREAKBULK 01,6,38,0,2000,99999,1,33.983334,-77.933334
WMPT,WMPTCONT/AMMO 01,7,38,0,2000,99999,1,33.983334,-77.933334
WPAU,WPAUGENERAL PU01,10,36,0,2000,99999,1,-33.966667,151.2
WPVT,TACOMA berth group-WPVT,1,55,0,5000,99999,1,47.266666,-122.5
WQZM,WQZMVISA      01,18,99,0,9999,99999,1,4.883333,-1.75
WTJG,WTJGVISA      01,18,99,0,9999,99999,1,5.633333,0.016666668
WYKZ,WYKZVISA      01,18,99,0,9999,99999,1,35.666668,139.75
XEXW,XEXWVISA      01,18,99,0,9999,99999,1,45.65,13.766666
XRVJ,XRVJVISA      01,18,99,0,9999,99999,1,39.45,-0.31666666
XUDT,XUDTVISA      01,18,99,0,9999,99999,1,45.633335,-122.683334
XVMN,XVMNVISA      01,18,99,0,9999,99999,1,45.433334,12.333333
XVRV,XVRVVISA      01,18,99,0,9999,99999,1,19.2,-96.13333
XYNK,XYNKVISA      01,18,99,0,9999,99999,1,38.216667,15.633333
YRTK,YRTKGENERAL PU01,10,45,0,2000,99999,1,-41.366665,174.85
