Day,ShipType,ShipsAvailable,TotalUsed,VISAMission,CONUS,Tunisia
28,POL TANKER,2,0,0,0,0
28,RO/RO,28,15,0,0,15
28,RO/RO(T-AKR),5,1,0,0,1
28,T-ACS,7,2,0,0,2
28,T-AH,2,0,0,0,0
28,VISA CONT,25,0,0,0,0
29,BARGE(LASH),4,0,0,0,0
29,BARGE(T-AKB),6,4,0,0,4
29,BREAKBULK,20,0,0,0,0
29,CAR TRANS,6,1,0,0,1
29,CLF,10,0,0,0,0
29,COMBO,3,2,0,0,2
29,CONT-NSS,63,10,0,0,10
29,CONT-SS,15,1,0,0,1
29,FSS,4,1,0,0,1
29,PAX,2,0,0,0,0
29,POL TANKER,2,0,0,0,0
29,RO/RO,28,16,0,0,16
29,RO/RO(T-AKR),5,1,0,0,1
29,T-ACS,7,2,0,0,2
29,T-AH,2,0,0,0,0
29,VISA CONT,25,0,0,0,0
30,BARGE(LASH),4,0,0,0,0
30,BARGE(T-AKB),6,4,0,0,4
30,BREAKBULK,20,0,0,0,0
30,CAR TRANS,6,1,0,0,1
30,CLF,10,0,0,0,0
30,COMBO,3,2,0,0,2
30,CONT-NSS,63,13,0,0,13
30,CONT-SS,15,1,0,0,1
30,FSS,4,1,0,0,1
30,PAX,2,0,0,0,0
30,POL TANKER,2,0,0,0,0
30,RO/RO,28,18,0,0,18
30,RO/RO(T-AKR),5,1,0,0,1
30,T-ACS,7,1,0,0,1
30,T-AH,2,0,0,0,0
30,VISA CONT,36,0,0,0,0
31,BARGE(LASH),4,0,0,0,0
31,BARGE(T-AKB),6,4,0,0,4
31,BREAKBULK,20,0,0,0,0
31,CAR TRANS,6,1,0,0,1
31,CLF,10,0,0,0,0
31,COMBO,3,1,0,0,1
31,CONT-NSS,63,11,0,0,11
31,CONT-SS,15,1,0,0,1
31,FSS,4,1,0,0,1
31,PAX,2,0,0,0,0
31,POL TANKER,2,0,0,0,0
31,RO/RO,28,18,0,0,18
31,RO/RO(T-AKR),5,1,0,0,1
31,T-ACS,7,1,0,0,1
31,T-AH,2,0,0,0,0
31,VISA CONT,38,0,0,0,0
32,BARGE(LASH),4,0,0,0,0
32,BARGE(T-AKB),6,4,0,0,4
32,BREAKBULK,20,0,0,0,0
32,CAR TRANS,6,1,0,0,1
32,CLF,10,0,0,0,0
32,COMBO,3,2,0,0,2
32,CONT-NSS,65,11,0,0,11
32,CONT-SS,15,1,0,0,1
32,FSS,4,1,0,0,1
32,PAX,2,0,0,0,0
32,POL TANKER,2,0,0,0,0
32,RO/RO,28,15,0,0,15
32,RO/RO(T-AKR),5,1,0,0,1
32,T-ACS,7,1,0,0,1
32,T-AH,2,0,0,0,0
32,VISA CONT,39,0,0,0,0
33,BARGE(LASH),4,0,0,0,0
33,BARGE(T-AKB),6,4,0,0,4
33,BREAKBULK,20,0,0,0,0
33,CAR TRANS,6,1,0,0,1
33,CLF,10,0,0,0,0
33,COMBO,3,2,0,0,2
33,CONT-NSS,65,12,0,0,12
33,CONT-SS,15,2,0,0,2
33,FSS,4,0,0,0,0
33,PAX,2,0,0,0,0
33,POL TANKER,2,0,0,0,0
33,RO/RO,28,15,0,0,15
33,RO/RO(T-AKR),5,1,0,0,1
33,T-ACS,7,1,0,0,1
33,T-AH,2,0,0,0,0
33,VISA CONT,39,1,0,0,1
34,BARGE(LASH),4,0,0,0,0
34,BARGE(T-AKB),6,3,0,0,3
34,BREAKBULK,20,0,0,0,0
34,CAR TRANS,6,1,0,0,1
34,CLF,10,0,0,0,0
34,COMBO,3,2,0,0,2
34,CONT-NSS,66,12,0,0,12
34,CONT-SS,15,2,0,0,2
34,FSS,4,0,0,0,0
34,PAX,2,0,0,0,0
34,POL TANKER,2,0,0,0,0
34,RO/RO,28,13,0,0,13
34,RO/RO(T-AKR),5,0,0,0,0
34,T-ACS,7,1,0,0,1
34,T-AH,2,0,0,0,0
34,VISA CONT,39,1,0,0,1
35,BARGE(LASH),4,0,0,0,0
35,BARGE(T-AKB),6,3,0,0,3
35,BREAKBULK,20,0,0,0,0
35,CAR TRANS,6,1,0,0,1
35,CLF,10,0,0,0,0
35,COMBO,3,2,0,0,2
35,CONT-NSS,66,11,0,0,11
35,CONT-SS,15,2,0,0,2
35,FSS,4,0,0,0,0
35,PAX,2,0,0,0,0
35,POL TANKER,2,0,0,0,0
35,RO/RO,28,13,0,0,13
35,RO/RO(T-AKR),5,0,0,0,0
35,T-ACS,7,1,0,0,1
35,T-AH,2,0,0,0,0
35,VISA CONT,39,1,0,0,1
36,BARGE(LASH),4,0,0,0,0
36,BARGE(T-AKB),6,1,0,0,1
36,BREAKBULK,20,0,0,0,0
36,CAR TRANS,6,1,0,0,1
36,CLF,10,0,0,0,0
36,COMBO,3,2,0,0,2
36,CONT-NSS,66,9,0,0,9
36,CONT-SS,15,2,0,0,2
36,FSS,4,0,0,0,0
36,PAX,2,0,0,0,0
36,POL TANKER,2,0,0,0,0
36,RO/RO,28,10,0,0,10
36,RO/RO(T-AKR),5,0,0,0,0
36,T-ACS,7,1,0,0,1
36,T-AH,2,0,0,0,0
36,VISA CONT,39,1,0,0,1
37,BARGE(LASH),4,0,0,0,0
37,BARGE(T-AKB),6,1,0,0,1
37,BREAKBULK,20,0,0,0,0
37,CAR TRANS,6,1,0,0,1
37,CLF,10,0,0,0,0
37,COMBO,3,2,0,0,2
37,CONT-NSS,66,9,0,0,9
37,CONT-SS,15,2,0,0,2
37,FSS,4,0,0,0,0
37,PAX,2,0,0,0,0
37,POL TANKER,2,0,0,0,0
37,RO/RO,28,9,0,0,9
37,RO/RO(T-AKR),5,0,0,0,0
37,T-ACS,7,1,0,0,1
37,T-AH,2,0,0,0,0
37,VISA CONT,48,1,0,0,1
38,BARGE(LASH),4,0,0,0,0
38,BARGE(T-AKB),6,1,0,0,1
38,BREAKBULK,20,0,0,0,0
38,CAR TRANS,6,0,0,0,0
38,CLF,10,0,0,0,0
38,COMBO,3,2,0,0,2
38,CONT-NSS,66,12,0,0,12
38,CONT-SS,15,1,0,0,1
38,FSS,4,0,0,0,0
38,PAX,2,0,0,0,0
38,POL TANKER,2,0,0,0,0
38,RO/RO,28,8,0,0,8
38,RO/RO(T-AKR),5,0,0,0,0
38,T-ACS,7,1,0,0,1
38,T-AH,2,0,0,0,0
38,VISA CONT,49,1,0,0,1
39,BARGE(LASH),4,0,0,0,0
39,BARGE(T-AKB),6,1,0,0,1
39,BREAKBULK,20,0,0,0,0
39,CAR TRANS,6,0,0,0,0
39,CLF,10,0,0,0,0
39,COMBO,3,2,0,0,2
39,CONT-NSS,66,11,0,0,11
39,CONT-SS,15,1,0,0,1
39,FSS,4,0,0,0,0
39,PAX,2,0,0,0,0
39,POL TANKER,2,0,0,0,0
39,RO/RO,28,8,0,0,8
39,RO/RO(T-AKR),5,0,0,0,0
39,T-ACS,7,1,0,0,1
39,T-AH,2,0,0,0,0
39,VISA CONT,50,1,0,0,1
40,BARGE(LASH),4,0,0,0,0
40,BARGE(T-AKB),6,1,0,0,1
40,BREAKBULK,20,0,0,0,0
40,CAR TRANS,6,0,0,0,0
40,CLF,10,0,0,0,0
40,COMBO,3,2,0,0,2
40,CONT-NSS,67,10,0,0,10
40,CONT-SS,15,1,0,0,1
40,FSS,4,0,0,0,0
40,PAX,2,0,0,0,0
40,POL TANKER,2,0,0,0,0
40,RO/RO,28,8,0,0,8
40,RO/RO(T-AKR),5,0,0,0,0
40,T-ACS,7,1,0,0,1
40,T-AH,2,0,0,0,0
40,VISA CONT,50,1,0,0,1
41,BARGE(LASH),4,0,0,0,0
41,BARGE(T-AKB),6,1,0,0,1
41,BREAKBULK,20,0,0,0,0
41,CAR TRANS,6,0,0,0,0
41,CLF,10,0,0,0,0
41,COMBO,3,3,0,0,3
41,CONT-NSS,67,11,0,0,11
41,CONT-SS,15,1,0,0,1
41,FSS,4,0,0,0,0
41,PAX,2,0,0,0,0
41,POL TANKER,2,0,0,0,0
41,RO/RO,28,6,0,0,6
41,RO/RO(T-AKR),5,0,0,0,0
41,T-ACS,7,1,0,0,1
41,T-AH,2,0,0,0,0
41,VISA CONT,50,0,0,0,0
42,BARGE(LASH),4,0,0,0,0
42,BARGE(T-AKB),6,0,0,0,0
42,BREAKBULK,20,0,0,0,0
42,CAR TRANS,6,0,0,0,0
42,CLF,10,0,0,0,0
42,COMBO,3,3,0,0,3
42,CONT-NSS,67,11,0,0,11
42,CONT-SS,15,1,0,0,1
42,FSS,4,0,0,0,0
42,PAX,2,0,0,0,0
42,POL TANKER,2,0,0,0,0
42,RO/RO,28,6,0,0,6
42,RO/RO(T-AKR),5,0,0,0,0
42,T-ACS,7,1,0,0,1
42,T-AH,2,0,0,0,0
42,VISA CONT,50,0,0,0,0
43,BARGE(LASH),4,0,0,0,0
43,BARGE(T-AKB),6,0,0,0,0
43,BREAKBULK,20,1,0,0,1
43,CAR TRANS,6,0,0,0,0
43,CLF,10,0,0,0,0
43,COMBO,3,2,0,0,2
43,CONT-NSS,67,13,0,0,13
43,CONT-SS,15,1,0,0,1
43,FSS,4,0,0,0,0
43,PAX,2,0,0,0,0
43,POL TANKER,2,0,0,0,0
43,RO/RO,28,3,0,0,3
43,RO/RO(T-AKR),5,0,0,0,0
43,T-ACS,7,1,0,0,1
43,T-AH,2,0,0,0,0
43,VISA CONT,50,0,0,0,0
44,BARGE(LASH),4,0,0,0,0
44,BARGE(T-AKB),6,0,0,0,0
44,BREAKBULK,20,1,0,0,1
44,CAR TRANS,6,0,0,0,0
44,CLF,10,0,0,0,0
44,COMBO,3,2,0,0,2
44,CONT-NSS,67,13,0,0,13
44,CONT-SS,15,0,0,0,0
44,FSS,4,0,0,0,0
44,PAX,2,0,0,0,0
44,POL TANKER,2,0,0,0,0
44,RO/RO,28,1,0,0,1
44,RO/RO(T-AKR),5,0,0,0,0
44,T-ACS,7,1,0,0,1
44,T-AH,2,0,0,0,0
44,VISA CONT,61,0,0,0,0
45,BARGE(LASH),4,0,0,0,0
45,BARGE(T-AKB),6,0,0,0,0
45,BREAKBULK,20,1,0,0,1
45,CAR TRANS,6,0,0,0,0
45,CLF,10,0,0,0,0
45,COMBO,3,2,0,0,2
45,CONT-NSS,68,13,0,0,13
45,CONT-SS,15,0,0,0,0
