Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,1,B-747P,2,UPLOAD,3,1.0526316,1.0526316,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,1,B-747P,4,DOWNLOAD,3,1.0526316,1.0526316,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,2,C-17,2,UPLOAD,2.25,2,2,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,2,C-17,4,DOWNLOAD,2.25,2,2,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,3,C-5A,2,UPLOAD,3.75,0.6666667,0.6666667,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,3,C-5A,4,DOWNLOAD,3.25,0.6666667,0.6666667,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,5,KC-10,2,UPLOAD,5,1.6666666,1.6666666,1,0
FUQN,THYNA,1,THYNA-EL MAOU -FUQN-IAP-parking,5,KC-10,4,DOWNLOAD,3,1.6666666,1.6666666,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,2,C-17,4,DOWNLOAD,2.25,9,9,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,3,C-5A,2,UPLOAD,3.75,3,3,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,3,3,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,5,KC-10,2,UPLOAD,5,7.4999995,7.4999995,1,0
FXSB,JB ELMENDORF-RICH,1,ELMENDORF AFB -FXSB-IAP-PARKING,5,KC-10,4,DOWNLOAD,3,7.4999995,7.4999995,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.2105265,4.2105265,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.2105265,4.2105265,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,2,C-17,2,UPLOAD,2.25,8,8,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,8,8,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,2.6666667,2.6666667,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,2.6666667,2.6666667,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,5,KC-10,2,UPLOAD,5,6.6666665,6.6666665,1,0
GAMH,ALEXANDRIA INTL,1,ALEXANDRIA INTL -GAMH-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,6.6666665,6.6666665,1,0
GKVB,FAIRFORD,1,RAMP1,1,B-747P,2,UPLOAD,3,2.1052632,2.1052632,1,0
GKVB,FAIRFORD,1,RAMP1,1,B-747P,4,DOWNLOAD,3,2.1052632,2.1052632,1,0
GKVB,FAIRFORD,1,RAMP1,2,C-17,2,UPLOAD,2.25,4,4,1,0
GKVB,FAIRFORD,1,RAMP1,2,C-17,4,DOWNLOAD,2.25,4,4,1,0
GKVB,FAIRFORD,1,RAMP1,3,C-5A,2,UPLOAD,3.75,1.3333334,1.3333334,1,0
GKVB,FAIRFORD,1,RAMP1,3,C-5A,4,DOWNLOAD,3.25,1.3333334,1.3333334,1,0
GKVB,FAIRFORD,1,RAMP1,5,KC-10,2,UPLOAD,5,3.3333333,3.3333333,1,0
GKVB,FAIRFORD,1,RAMP1,5,KC-10,4,DOWNLOAD,3,3.3333333,3.3333333,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,1,B-747P,2,UPLOAD,3,2.631579,2.631579,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,1,B-747P,4,DOWNLOAD,3,2.631579,2.631579,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,2,C-17,2,UPLOAD,2.25,5,5,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,2,C-17,4,DOWNLOAD,2.25,5,5,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,3,C-5A,2,UPLOAD,3.75,1.6666666,1.6666666,1,0
