RLN,CCC,STons,MTons,Sqft,CargoClass
1:0YBQC,R1D,19.10,60.00,382.00,2
1:0YBQC,R2D,126.50,643.00,2530.00,2
1:0YBRC,J3B,14.70,42.00,294.00,2
1:0YBRC,R2D,153.90,431.00,3078.00,2
1:0YBSC,J3B,14.70,42.00,294.00,2
1:0YBSC,R2D,153.90,431.00,3078.00,2
1:0YBTC,J3B,11.40,29.00,228.00,2
1:0YBTC,R2D,107.40,380.00,2148.00,2
1:0YBUC,J3B,904.00,2719.00,18080.00,2
1:0YBUC,R1D,86.10,283.00,1722.00,2
1:0YBUC,R2D,737.70,3660.00,14754.00,2
