Berth Group Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,PORT NAME<String>,BERTH GROUP<String>,Time<Day>,BERTH LENGTH<Ft>,MIN FEET USED<Ft>,MIN LENGTH USE<Percent>,AVG FEET USED<Ft>,AVG LENGTH USE<Percent>,MAX FEET USED<Ft>,MAX LENGTH USE<Percent>,MIN SHIPS ON<Ship>,AVG SHIPS ON<Ship>,MAX SHIPS ON<Ship>
VKNP,TN,SFAX,BG Safaqis NE-2 berth,0.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,1.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,2.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,3.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,4.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,5.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,6.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,7.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,8.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,9.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,10.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-2 berth,11.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
