Model,FedTime,Fleet,AcType,Home,AvailToPlanBulk,PlannedBulk,AvailBulk,ScheduledBulk,AvailToPlanOver,PlannedOver,AvailOver,ScheduledOver,AvailToPlanOut,PlannedOut,AvailOut,ScheduledOut,AvailToPlanPax,PlannedPax,AvailPax,ScheduledPax
MAIN,15.05,STRATEGIC,C-17,DKFX,616.3000082746148,135.8000030592084,231.30000093579292,11.599999785423279,1495.8999991416931,1235.7175669670105,713.400013923645,57.69998741149902,47.20000076293945,47.20000076293945,0.0,0.0,2675,1812,2054,56
MAIN,15.05,STRATEGIC,C-17,PQWY,616.3000082746148,135.8000030592084,231.30000093579292,6.0,1495.8999991416931,1235.7175669670105,713.400013923645,29.399999618530273,47.20000076293945,47.20000076293945,0.0,0.0,2675,1812,2054,28
MAIN,15.05,STRATEGIC,C-17,XDAT,616.3000082746148,135.8000030592084,231.30000093579292,6.0,1495.8999991416931,1235.7175669670105,713.400013923645,143.49999332427979,47.20000076293945,47.20000076293945,0.0,0.0,2675,1812,2054,112
MAIN,15.05,STRATEGIC,C-5A,XDAT,135.19999992847443,79.60000002384186,0.0,0.0,625.099996805191,0.0,0.0,0.0,9.0,0.0,0.0,0.0,32,0,0,0
MAIN,15.05,STRATEGIC,KC-10,XDAT,620.0000082328916,351.6476812362671,235.00000089406967,22.69999995827675,828.3000030517578,14.882444262504578,713.400013923645,14.700000762939453,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,16.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35394,35587,545,0
MAIN,16.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35394,35587,545,0
MAIN,16.05,STRATEGIC,C-17,DKFX,570.0000090375543,148.25737953186035,233.5000011920929,0.0,1250.6000113487244,1149.307251214981,487.00002098083496,0.0,47.20000076293945,47.20000076293945,0.0,0.0,2124,1300,1593,0
MAIN,16.05,STRATEGIC,C-17,PQWY,570.0000090375543,148.25737953186035,233.5000011920929,4.0,1250.6000113487244,1149.307251214981,487.00002098083496,34.90000534057617,47.20000076293945,47.20000076293945,0.0,0.0,2124,1300,1593,28
MAIN,16.05,STRATEGIC,C-17,XDAT,570.0000090375543,148.25737953186035,233.5000011920929,19.0,1250.6000113487244,1149.307251214981,487.00002098083496,16.200000047683716,47.20000076293945,47.20000076293945,0.0,0.0,2124,1300,1593,28
MAIN,16.05,STRATEGIC,C-5A,XDAT,135.19999992847443,82.39999997615814,0.0,0.0,625.099996805191,0.0,0.0,0.0,9.0,0.0,0.0,0.0,32,3,0,0
MAIN,16.05,STRATEGIC,KC-10,XDAT,573.700008995831,276.8070373311639,237.20000115036964,37.800000697374344,583.0000152587891,21.09274673461914,487.00002098083496,29.100001335144043,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,17.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35363,35077,1530,0
MAIN,17.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35363,35077,1530,676
MAIN,17.05,STRATEGIC,C-17,DKFX,637.9000082984567,173.05738353729248,176.40000081062317,0.0,1170.4000036716461,1094.8506647348404,406.80001282691956,0.0,47.20000076293945,47.20000076293945,0.0,0.0,1718,1067,1198,0
MAIN,17.05,STRATEGIC,C-17,PQWY,637.9000082984567,173.05738353729248,176.40000081062317,0.0,1170.4000036716461,1094.8506647348404,406.80001282691956,29.0,47.20000076293945,47.20000076293945,0.0,0.0,1718,1067,1198,28
MAIN,17.05,STRATEGIC,C-17,XDAT,637.9000082984567,173.05738353729248,176.40000081062317,20.600000381469727,1170.4000036716461,1094.8506647348404,406.80001282691956,12.49999737739563,47.20000076293945,47.20000076293945,0.0,0.0,1718,1067,1198,28
MAIN,17.05,STRATEGIC,C-5A,XDAT,260.1999999284744,153.0,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,0.0,0.0,0.0,32,14,0,0
MAIN,17.05,STRATEGIC,KC-10,XDAT,637.9000082984567,287.94262585788965,176.40000081062317,0.0,502.8000075817108,25.54934787750244,406.80001282691956,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,18.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35665,34240,1832,0
MAIN,18.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35665,34240,1832,695
MAIN,18.05,STRATEGIC,C-17,DKFX,580.2000078931451,138.09488010406494,118.70000088214874,0.0,1119.4000062942505,1072.465265750885,355.80001497268677,0.0,47.20000076293945,38.20000076293945,0.0,0.0,1655,1212,1135,0
