Model,FedTime,AssetID,AssetType,FromLocation,RampName,FromTime,MissionID,Mode,ToLocation,ToTime,CrewDutyLeft,CrewStatus,GroundDelay,LoadDelay,FuelAmount,ChannelMissionId,ConfigurationChange,ReconfigureTime
MAIN,52.25,KC10-XDAT010,KC-10,MQNA,RAMP1,52.248478,KC10-XDAT010-D0050R0004S01,AIR,PTFL,52.48892,0.28561538,WORK,0,0,0,,false,0
MAIN,52.3,KC10-XDAT011,KC-10,MQNA,RAMP1,52.287807,KC10-XDAT011-D0050R0004S01,AIR,PTFL,52.528248,0.28561538,WORK,0,0,0,,false,0
MAIN,52.35,KC10-XDAT007,KC-10,MQNA,RAMP1,52.319904,KC10-XDAT007-D0051R0005S01,AIR,HNTK,52.49959,0.27244824,WORK,0,0,0,,false,0
MAIN,52.4,C17-DKFX006,C-17,MQNA,RAMP1,52.382874,C17-DKFX006-D0049R0003S01,AIR,FUQN,52.57486,0.5520833,REST,0,0,0,,false,0
MAIN,52.45,C17-XDAT002,C-17,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,52.40972,C17-XDAT002-D0048R0004S02,AIR,XDAT,52.652905,0.16087961,WORK,0,0,0,,false,0
MAIN,52.5,C17-PQWY004,C-17,FJXT,DOVER AFB -FJXT-MAP-PARKING,52.458267,C17-PQWY004-D0050R0003S01,AIR,MQNA,52.688244,0.5520833,REST,0.1308136,0,0,,false,0
MAIN,52.55,C17-DKFX003,C-17,FJXT,DOVER AFB -FJXT-MAP-PARKING,52.50079,C17-DKFX003-D0050R0008S01,AIR,MQNA,52.730766,0.5520833,REST,0.08829117,0,0,,false,0
MAIN,52.55,C17-DKFX004,C-17,FJXT,DOVER AFB -FJXT-MAP-PARKING,52.52394,C17-DKFX004-D0050R0005S01,AIR,MQNA,52.753918,0.5520833,REST,0,0,0,,false,0
MAIN,52.6,B747-400-XDAT008,B-747P,TYFR,RAMP1,52.580494,B747-400-XDAT008-D0049R0007S01,AIR,XDAT,53.06458,0.5520833,REST,0,0,0,,false,0
MAIN,52.6,B747-400-XDAT011,B-747P,LEXG,HUNTER AAF -LEXG-MAP-PARKING,52.595722,B747-400-XDAT011-D0051R0003S01,AIR,CWKW,53.07524,0.5520833,REST,0,0,0,,false,0
MAIN,52.65,C17-PQWY002,C-17,HNTK,GABES -HNTK-APT-parking,52.61786,C17-PQWY002-D0050R0003S01,AIR,PTFL,53.05066,0.5520833,REST,0,0,0,,false,0
