Model,FedTime,ToTime,ToPurpose,ToLocation,RampName,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,Fleet,CrewType,CrewID,CrewAugmentedSize,CrewAugmentedDuty,MissionID,EarliestReleaseTime,Craf,Contam,Hot,Acl,CrewDutyLeft,OnGroundTime,ServiceTime,ScheduleDelay,CrewRestTime,FuelAmount,ChannelMissionId,SaamId,SaamLegId,ReconfigureTime
MAIN,154.3,154.26453,ENROUTE,MQNA,RAMP1,154.0474,LOAD,FJXT,AIR,KC-10,KC10-XDAT024,STRATEGIC,"","",false,false,KC10-XDAT024-D0153R0008S01,154.32703,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.3,154.26453,ENROUTE,MQNA,RAMP1,154.0474,LOAD,FJXT,AIR,KC-10,KC10-XDAT022,STRATEGIC,"","",false,false,KC10-XDAT022-D0153R0008S01,154.32703,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.3,154.29202,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.05142,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT033,STRATEGIC,"","",false,false,KC10-XDAT033-D0151R0008S01,154.35452,false,false,false,84.675,0.31148726,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.3,154.29202,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.05142,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT009,STRATEGIC,"","",false,false,KC10-XDAT009-D0151R0008S01,154.35452,false,false,false,84.675,0.31148726,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.3,154.29202,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.05142,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT011,STRATEGIC,"","",false,false,KC10-XDAT011-D0151R0008S01,154.35452,false,false,false,84.675,0.31148726,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.45,154.44247,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,154.20203,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT034,STRATEGIC,"","",false,false,KC10-XDAT034-D0151R0009S01,154.50497,false,false,false,84.675,0.3116429,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.45,154.44247,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,154.20203,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT027,STRATEGIC,"","",false,false,KC10-XDAT027-D0151R0009S01,154.50497,false,false,false,84.675,0.3116429,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.45,154.44421,UNLOAD,HNTK,GABES -HNTK-APT-parking,154.26453,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT021,STRATEGIC,"","",false,false,KC10-XDAT021-D0153R0008S01,155.06921,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,154.55,154.50497,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,154.26453,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT031,STRATEGIC,"","",false,false,KC10-XDAT031-D0151R0009S01,154.56747,false,false,false,84.675,0.3116429,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.55,154.50497,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,154.26453,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT012,STRATEGIC,"","",false,false,KC10-XDAT012-D0152R0008S01,155.12997,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,154.55,154.50671,UNLOAD,HNTK,GABES -HNTK-APT-parking,154.32703,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT024,STRATEGIC,"","",false,false,KC10-XDAT024-D0153R0008S01,155.13171,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,154.55,154.50671,UNLOAD,HNTK,GABES -HNTK-APT-parking,154.32703,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT022,STRATEGIC,"","",false,false,KC10-XDAT022-D0153R0008S01,155.13171,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,154.65,154.64655,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.40594,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT038,STRATEGIC,"","",false,false,KC10-XDAT038-D0151R0005S01,154.70905,false,false,false,84.675,0.31148726,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.75,154.74557,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.50497,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT034,STRATEGIC,"","",false,false,KC10-XDAT034-D0151R0009S01,154.80807,false,false,false,84.675,0.008546814,0.0625,0.0625,0,0,0,,"","",0
