Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT26_1,1,0,108,88,60,240,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT27_1,1,0,108,88,60,1038,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT28_1,1,0,108,88,60,126,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT29_1,1,0,108,88,60,1152,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT30_1,1,0,108,88,60,1038,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT31_1,1,0,108,88,60,12,14,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT32_1,1,0,108,88,60,1152,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT33_1,1,0,108,88,60,12,108,false,AFT/CENTER/LOWER,3,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT28_1,1,0,108,88,60,468,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT29_1,1,0,108,88,60,582,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT30_1,1,0,108,88,60,468,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT31_1,1,0,108,88,60,354,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT32_1,1,0,108,88,60,582,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT33_1,1,0,108,88,60,240,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT34_1,1,0,108,88,60,354,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT35_1,1,0,108,88,60,696,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT36_1,1,0,108,88,60,240,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT37_1,1,0,108,88,60,810,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT38_1,1,0,108,88,60,696,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT39_1,1,0,108,88,60,126,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT40_1,1,0,108,88,60,810,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT41_1,1,0,108,88,60,12,17,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT42_1,1,0,108,88,60,126,111,false,AFT/CENTER/LOWER,2,
MAIN,26.95,C17-DKFX002-D0026R0004S01,1:0000011.PLT43_1,1,0,108,88,60,12,111,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT6_1,1,0,108,88,60,582,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT7_1,1,0,108,88,60,696,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT8_1,1,0,108,88,60,582,109,false,AFT/CENTER/LOWER,2,
