Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,BerthName,Contam
MAIN,56.6,7218462,7218462-2,RUAM,CONT-NSS,POE,56.561806,Unconstrained,false
MAIN,58.55,6916861,6916861-2,RUAM,CONT-NSS,POE,58.531944,Unconstrained,false
MAIN,58.6,7315571,7315571-2,JTVH,FSS,POE,58.583332,GULFPORT BG-JTVH Terminal-19783,false
MAIN,58.7,9137349,9137349-1,VKNP,BREAKBULK,POD,58.666668,BG Safaqis cont-1 berth,false
MAIN,58.9,6812211,6812211-1,VKNP,CONT-NSS,POD,58.875,BG Safaqis cont-2 berth,false
MAIN,59.8,8450665,8450665-1,HNTS,RO/RO,POD,59.75,BG Gabes berth1,false
MAIN,60.3,7026259,7026259-2,VKNP,CONT-NSS,POD,60.25,BG Safaqis cont-1 berth,false
MAIN,60.55,7224904,7224904-2,FQZF,CONT-NSS,POE,60.516666,Unconstrained,false
MAIN,61.9,7302897,7302897-2,RUAM,FSS,POE,61.87361,Unconstrained,false
MAIN,62.05,9074391,9074391-1,RUAM,VISA CONT,POE,62.049305,Unconstrained,false
MAIN,62.15,8902400,8902400-2,VKNP,CONT-NSS,POD,62.125,BG Safaqis cont-1 berth,false
MAIN,62.2,8419166,8419166-1,VKNP,CONT-NSS,POD,62.166668,BG Safaqis cont-2 berth,false
MAIN,62.4,7050248,7050248-2,HNTS,BARGE(T-AKB),POD,62.375,BG Gabes berth1,false
MAIN,62.5,1811111,1811111-3,RUAM,CONT-NSS,POE,62.477085,Unconstrained,false
MAIN,62.55,8902395,8902395-2,VKNP,CONT-NSS,POD,62.5,BG Safaqis cont-1 berth,false
MAIN,63.9,7236153,7236153-2,RUAM,FSS,POE,63.87361,Unconstrained,false
MAIN,64.55,7218462,7218462-2,VKNP,CONT-NSS,POD,64.54236,BG Safaqis cont-1 berth,false
MAIN,66.2,7325253,7325253-2,RUAM,FSS,POE,66.18611,Unconstrained,false
MAIN,66.75,7820423,7820423-2,QTUP,RO/RO,POE,66.708336,MOREHEAD CITY BG-QTUP -19792,false
MAIN,66.9,6916861,6916861-2,VKNP,CONT-NSS,POD,66.875,BG Safaqis cont-1 berth,false
MAIN,66.95,6828624,6828624-3,RUAM,CONT-NSS,POE,66.941666,Unconstrained,false
MAIN,67.45,7315571,7315571-2,VKNP,FSS,POD,67.41736,BG Safaqis cont-1 berth,false
MAIN,68,7224306,7224306-3,RUAM,CONT-NSS,POE,67.958336,Unconstrained,false
MAIN,68.45,7302897,7302897-2,VKNP,FSS,POD,68.41736,BG Safaqis cont-1 berth,false
MAIN,68.95,7224904,7224904-2,VKNP,CONT-NSS,POD,68.91736,BG Safaqis cont-1 berth,false
MAIN,69.05,9074391,9074391-1,SEA1,VISA CONT,POD,69,N/A,false
MAIN,70.2,1811111,1811111-3,VKNP,CONT-NSS,POD,70.16736,BG Safaqis cont-1 berth,false
MAIN,70.2,6708379,6708379-2,RUAM,CONT-NSS,POE,70.17986,Unconstrained,false
MAIN,70.45,7236153,7236153-2,VKNP,FSS,POD,70.41736,BG Safaqis cont-1 berth,false
MAIN,71.25,7233278,7233278-2,RUAM,CONT-NSS,POE,71.22361,Unconstrained,false
MAIN,71.5,7034335,7034335-2,HNTS,BARGE(T-AKB),POD,71.458336,BG Gabes berth1,false
MAIN,72.1,6905252,6905252-2,RUAM,CONT-NSS,POE,72.068054,Unconstrained,false
MAIN,72.8,7325253,7325253-2,VKNP,FSS,POD,72.75,BG Safaqis cont-1 berth,false
MAIN,73.8,7304792,7304792-2,HNTS,BARGE(T-AKB),POD,73.79236,BG Gabes berth1,false
MAIN,74.3,6801664,6801664-1,DKSD,RO/RO,POE,74.29236,Charleston-DKSD Terminal-19777,false
MAIN,74.35,7320411,7320411-3,RRRK,BARGE(T-AKB),POE,74.333336,NEW YORK berth group-RRRK,false
MAIN,74.65,6828624,6828624-3,VKNP,CONT-NSS,POD,74.625,BG Safaqis cont-1 berth,false
MAIN,75.7,7224306,7224306-3,VKNP,CONT-NSS,POD,75.66736,BG Safaqis cont-1 berth,false
MAIN,75.9,7026259,7026259-3,RUAM,CONT-NSS,POE,75.89132,Unconstrained,false
MAIN,77.25,7820423,7820423-2,VKNP,RO/RO,POD,77.208336,BG Safaqis cont-1 berth,false
MAIN,78.25,6708379,6708379-2,VKNP,CONT-NSS,POD,78.208336,BG Safaqis cont-1 berth,false
MAIN,79.3,7233278,7233278-2,VKNP,CONT-NSS,POD,79.25,BG Safaqis cont-1 berth,false
MAIN,79.55,8902395,8902395-3,RUAM,CONT-NSS,POE,79.51632,Unconstrained,false
MAIN,80.1,6905252,6905252-2,VKNP,CONT-NSS,POD,80.083336,BG Safaqis cont-1 berth,false
MAIN,80.15,8902400,8902400-3,RUAM,CONT-NSS,POE,80.129166,Unconstrained,false
MAIN,80.75,7315571,7315571-3,RUAM,FSS,POE,80.71667,Unconstrained,false
MAIN,81.9,7302897,7302897-3,RUAM,FSS,POE,81.87361,Unconstrained,false
MAIN,82.05,9074389,9074389-1,RUAM,VISA CONT,POE,82.04965,Unconstrained,false
MAIN,82.3,6801664,6801664-1,VKNP,RO/RO,POD,82.29236,BG Safaqis cont-1 berth,false
MAIN,83.35,7320411,7320411-3,VKNP,BARGE(T-AKB),POD,83.333336,BG Safaqis cont-1 berth,false
MAIN,83.9,7236153,7236153-3,RUAM,FSS,POE,83.87361,Unconstrained,false
MAIN,84.3,7026259,7026259-3,VKNP,CONT-NSS,POD,84.29236,BG Safaqis cont-1 berth,false
MAIN,84.5,1811111,1811111-4,RUAM,CONT-NSS,POE,84.47708,Unconstrained,false
MAIN,85.55,6916861,6916861-3,RUAM,CONT-NSS,POE,85.531944,Unconstrained,false
MAIN,85.9,6913259,6913259-1,RUAM,CONT-NSS,POE,85.8934,Unconstrained,false
MAIN,87.35,7315571,7315571-3,VKNP,FSS,POD,87.333336,BG Safaqis cont-1 berth,false
MAIN,87.6,8902395,8902395-3,VKNP,CONT-NSS,POD,87.583336,BG Safaqis cont-2 berth,false
MAIN,88.2,8902400,8902400-3,VKNP,CONT-NSS,POD,88.16736,BG Safaqis cont-1 berth,false
MAIN,88.45,7302897,7302897-3,VKNP,FSS,POD,88.41736,BG Safaqis cont-1 berth,false
MAIN,88.5,7002071,7002071-1,RUAM,CONT-NSS,POE,88.464584,Unconstrained,false
MAIN,89,6828624,6828624-4,RUAM,CONT-NSS,POE,88.958336,Unconstrained,false
MAIN,89.05,9074389,9074389-1,SEA1,VISA CONT,POD,89,N/A,false
MAIN,89.95,7224306,7224306-4,RUAM,CONT-NSS,POE,89.941666,Unconstrained,false
MAIN,90.45,7236153,7236153-3,VKNP,FSS,POD,90.41736,BG Safaqis cont-1 berth,false
MAIN,90.6,7218462,7218462-3,RUAM,CONT-NSS,POE,90.583336,Unconstrained,false
MAIN,91.55,7802718,7802718-1,RUAM,CONT-NSS,POE,91.50694,Unconstrained,false
MAIN,92.2,1811111,1811111-4,VKNP,CONT-NSS,POD,92.166664,BG Safaqis cont-1 berth,false
MAIN,93.35,7304792,7304792-3,RRRK,BARGE(T-AKB),POE,93.333336,NEW YORK berth group-RRRK,false
MAIN,93.6,6913259,6913259-1,VKNP,CONT-NSS,POD,93.583336,BG Safaqis cont-1 berth,false
MAIN,93.95,6916861,6916861-3,VKNP,CONT-NSS,POD,93.916664,BG Safaqis cont-1 berth,false
MAIN,94.1,6905252,6905252-3,RUAM,CONT-NSS,POE,94.06875,Unconstrained,false
MAIN,95.05,9085522,9085522-1,RUAM,VISA CONT,POE,95.04931,Unconstrained,false
MAIN,95.25,7233278,7233278-3,RUAM,CONT-NSS,POE,95.22361,Unconstrained,false
MAIN,95.55,6820579,6820579-2,FQZF,CONT-NSS,POE,95.530556,Unconstrained,false
MAIN,96.2,7002071,7002071-1,VKNP,CONT-NSS,POD,96.166664,BG Safaqis cont-1 berth,false
MAIN,96.2,6708379,6708379-3,RUAM,CONT-NSS,POE,96.17986,Unconstrained,false
