Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,RampName,Departed,Contam
MAIN,56.35,KC10-XDAT007,KC10-XDAT007-D0054R0006S01,TYFR,KC-10,PLACE_HOLDER,56.34376,RAMP1,false,false
MAIN,56.55,B747-400-XDAT010,B747-400-XDAT010-D0053R0005S01,TYFR,B-747P,PLACE_HOLDER,56.537865,RAMP1,false,false
MAIN,56.6,KC10-XDAT007,KC10-XDAT007-D0054R0006S01,HNTK,KC-10,PLACE_HOLDER,56.578136,GABES -HNTK-APT-parking,false,false
MAIN,56.75,B747-400-XDAT012,B747-400-XDAT012-D0054R0002S01,TYFR,B-747P,PLACE_HOLDER,56.74744,RAMP1,false,false
MAIN,56.85,KC10-XDAT013,KC10-XDAT013-D0056R0003S01,FJXT,KC-10,PLACE_HOLDER,56.835186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,56.85,KC10-XDAT014,KC10-XDAT014-D0056R0003S01,FJXT,KC-10,PLACE_HOLDER,56.835186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,56.9,C17-PQWY004,C17-PQWY004-D0050R0003S02,HNTK,C-17,PLACE_HOLDER,56.866013,GABES -HNTK-APT-parking,false,false
MAIN,56.9,KC10-XDAT016,KC10-XDAT016-D0056R0001S01,FJXT,KC-10,PLACE_HOLDER,56.897686,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,56.9,KC10-XDAT017,KC10-XDAT017-D0056R0001S01,FJXT,KC-10,PLACE_HOLDER,56.897686,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,56.95,B747-400-XDAT007,B747-400-XDAT007-D0056R0007S01,LEXG,B-747P,PLACE_HOLDER,56.93216,HUNTER AAF -LEXG-MAP-PARKING,false,false
MAIN,57,KC10-XDAT018,KC10-XDAT018-D0056R0001S01,FJXT,KC-10,PLACE_HOLDER,56.960186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,57,KC10-XDAT019,KC10-XDAT019-D0056R0001S01,FJXT,KC-10,PLACE_HOLDER,56.960186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,57,C17-PQWY004,C17-PQWY004-D0050R0003S02,FUQN,C-17,PLACE_HOLDER,56.971764,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,57.05,B747-400-XDAT013,B747-400-XDAT013-D0054R0002S01,TYFR,B-747P,PLACE_HOLDER,57.033268,RAMP1,false,false
MAIN,57.1,KC10-XDAT010,KC10-XDAT010-D0054R0005S01,PTFL,KC-10,PLACE_HOLDER,57.05142,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,57.1,KC10-XDAT011,KC10-XDAT011-D0054R0005S01,PTFL,KC-10,PLACE_HOLDER,57.05142,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,57.1,KC10-XDAT012,KC10-XDAT012-D0054R0004S01,PTFL,KC-10,PLACE_HOLDER,57.05142,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,57.1,B747-400-XDAT010,B747-400-XDAT010-D0057R0006S01,XDAT,B-747P,PLACE_HOLDER,57.08445,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,57.15,KC10-XDAT015,KC10-XDAT015-D0054R0001S01,PTFL,KC-10,PLACE_HOLDER,57.11392,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,57.15,KC10-XDAT013,KC10-XDAT013-D0056R0003S01,MQNA,KC-10,PLACE_HOLDER,57.114822,RAMP1,false,false
MAIN,57.15,KC10-XDAT014,KC10-XDAT014-D0056R0003S01,MQNA,KC-10,PLACE_HOLDER,57.114822,RAMP1,false,false
MAIN,57.2,KC10-XDAT016,KC10-XDAT016-D0056R0001S01,MQNA,KC-10,PLACE_HOLDER,57.177322,RAMP1,false,false
MAIN,57.2,KC10-XDAT017,KC10-XDAT017-D0056R0001S01,MQNA,KC-10,PLACE_HOLDER,57.177322,RAMP1,false,false
MAIN,57.3,B747-400-XDAT012,B747-400-XDAT012-D0057R0003S01,XDAT,B-747P,PLACE_HOLDER,57.294025,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,57.35,CH47-SEA1001,CH47-SEA1001-D0057R0005S01,SEA1,CH47,PLACE_HOLDER,57.34375,RAMP1,false,false
MAIN,57.45,KC10-XDAT007,KC10-XDAT007-D0054R0006S01,MQNA,KC-10,PLACE_HOLDER,57.407104,RAMP1,false,false
MAIN,57.6,B747-400-XDAT013,B747-400-XDAT013-D0057R0003S01,XDAT,B-747P,PLACE_HOLDER,57.579853,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,57.75,KC10-XDAT007,KC10-XDAT007-D0054R0006S01,PTFL,KC-10,PLACE_HOLDER,57.710045,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,57.8,CH47-SEA1001,CH47-SEA1001-D0057R0005S01,BQWK,CH47,PLACE_HOLDER,57.77992,UNKNOWN,false,false
