Model,FedTime,Key,PositionUpdateTime,ShipStatus,Longitude,Latitude
MAIN,177.25,7218462,0,AT_SEA_LOADED,3.0999999046325684,37.20000076293945
MAIN,177.3,9074391,0,AT_SEA_LOADED,7.5,37.400001525878906
MAIN,177.35,6708379,0,AT_SEA_EMPTY,3.0999999046325684,37.20000076293945
MAIN,177.35,1811111,0,AT_SEA_EMPTY,-20.0,40.0
MAIN,177.4,7303205,0,AT_SEA_LOADED,-9.25,36.79999923706055
MAIN,177.45,7002071,0,AT_SEA_EMPTY,-69.75,17.5
MAIN,177.55,8221545,0,AT_SEA_LOADED,11.600000381469727,35.0
MAIN,177.55,6820579,0,AT_SEA_LOADED,-74.5999984741211,40.016666412353516
MAIN,177.6,9074391,0,AT_SEA_LOADED,11.0,37.5
MAIN,177.6,6820579,0,AT_SEA_LOADED,-74.19999694824219,39.5
MAIN,177.65,8221545,0,AT_SEA_LOADED,11.600000381469727,35.0
MAIN,177.65,7303205,0,AT_SEA_LOADED,-5.75,35.95000076293945
MAIN,177.65,7218462,0,AT_SEA_LOADED,7.5,37.400001525878906
MAIN,177.7,6708379,0,AT_SEA_EMPTY,-0.6000000238418579,36.20000076293945
MAIN,177.7,6820579,0,AT_SEA_LOADED,-73.80000305175781,40.099998474121094
MAIN,177.75,7303205,0,AT_SEA_LOADED,-4.699999809265137,36.0
MAIN,177.75,6820579,0,AT_SEA_LOADED,-74.0,40.599998474121094
MAIN,177.8,8221545,0,AT_SEA_EMPTY,10.766666412353516,34.733333587646484
MAIN,177.8,7325253,0,AT_SEA_EMPTY,-79.1500015258789,30.985000610351562
MAIN,177.85,9074391,0,AT_SEA_LOADED,11.600000381469727,35.0
MAIN,177.85,7303205,0,AT_SEA_LOADED,-2.9000000953674316,35.900001525878906
MAIN,177.9,6708379,0,AT_SEA_EMPTY,-2.9000000953674316,35.900001525878906
MAIN,177.9,8221545,0,AT_SEA_EMPTY,11.600000381469727,35.0
