Event Day,Port,Fleet,Restriction
40,00XT,MSC,true
40,AAPV,MSC,true
40,ABFL,MSC,true
40,ADKH,MSC,true
40,ADLS,MSC,true
40,AELU,MSC,true
40,AEQT,MSC,true
40,AJGX,MSC,true
40,ALRF,MSC,true
40,AMCQ,MSC,true
40,APFD,MSC,false
40,APGW,MSC,true
40,AVBU,MSC,true
40,AVYX,MSC,true
40,BBNQ,MSC,true
40,BBNV,MSC,true
40,BQWA,MSC,true
40,BSRL,MSC,true
40,CHCY,MSC,true
40,CWCP,MSC,true
40,CWGV,MSC,true
40,DKSD,MSC,true
40,DRUG,MSC,true
40,EDME,MSC,false
40,EGNN,MSC,true
40,ENCN,MSC,true
40,EZMU,MSC,true
40,FGDB,MSC,true
40,FGDD,MSC,true
40,FGTW,MSC,true
40,FMAZ,MSC,true
40,FNLD,MSC,true
40,FNSH,MSC,true
40,FQZF,MSC,true
40,GPEN,MSC,true
40,GWZP,MSC,true
40,HAGC,MSC,true
40,HMGB,MSC,true
40,HNTS,MSC,true
40,HUPR,MSC,true
40,JJRP,MSC,true
40,JSSN,MSC,true
40,JTVH,MSC,true
40,JWJY,MSC,true
40,JWTD,MSC,true
40,JXKM,MSC,true
40,JYPN,MSC,true
40,KZPH,MSC,true
40,KZTZ,MSC,true
40,LCMT,MSC,true
40,LKPE,MSC,true
40,LRNC,MSC,true
40,LSGM,MSC,true
40,LUTP,MSC,true
40,LWEV,MSC,true
40,LYAP,MSC,true
40,LYRV,MSC,false
40,LYTM,MSC,true
40,MKAG,MSC,true
40,MLDL,MSC,true
40,MMGH,MSC,true
40,MZJK,MSC,true
40,NBDY,MSC,true
40,NLFL,MSC,true
40,NNWH,MSC,true
40,NPTU,MSC,true
40,NSAN,MSC,true
40,PAXM,MSC,true
40,PCFC,MSC,false
40,PCFG,MSC,true
40,PKVP,MSC,true
40,PPSH,MSC,true
40,QCFF,MSC,true
40,QHPB,MSC,true
40,QHPD,MSC,true
40,QHPF,MSC,true
40,QNPW,MSC,true
40,QTUP,MSC,true
40,RCYQ,MSC,true
40,RCYT,MSC,true
40,RELG,MSC,true
40,REPV,MSC,true
40,RGJW,MSC,true
40,RQNK,MSC,true
40,RRHU,MSC,true
40,RRRK,MSC,true
40,RUAM,MSC,true
40,RUAQ,MSC,true
40,RULV,MSC,true
40,SBEA,MSC,true
40,SBEQ,MSC,true
40,SEA1,MSC,true
40,SERU,MSC,true
40,SMXS,MSC,true
40,STRM,MSC,true
40,SVCN,MSC,true
40,SYZZ,MSC,true
40,TGWS,MSC,true
40,TKDW,MSC,true
40,TNVX,MSC,true
40,TNZY,MSC,true
40,TPPR,MSC,true
40,TPRW,MSC,true
40,TQKG,MSC,true
40,TRZP,MSC,true
40,TVJD,MSC,true
40,TVXA,MSC,true
40,TZL4,MSC,true
40,TZYR,MSC,true
40,UMXA,MSC,true
40,UNAP,MSC,true
40,UTAC,MSC,true
40,UTVT,MSC,true
40,UULA,MSC,true
40,UULB,MSC,true
40,UULX,MSC,true
40,UYQR,MSC,true
40,UZXJ,MSC,true
40,VFVN,MSC,true
40,VKNP,MSC,true
40,VPRF,MSC,true
40,VSNF,MSC,false
40,WMPT,MSC,true
40,WPAU,MSC,true
40,WPVT,MSC,true
40,WQZM,MSC,true
40,WTJG,MSC,true
40,WYKZ,MSC,true
40,XEXW,MSC,true
40,XRVJ,MSC,true
40,XUDT,MSC,true
40,XVMN,MSC,true
40,XVRV,MSC,false
40,XYNK,MSC,true
40,YRTK,MSC,true
40,ZBES,MSC,true
40,ZMJJ,MSC,true
40,ZNMC,MSC,true
40,ZSJC,MSC,true
40,00A1,ORG SURGE,true
40,00IO,ORG SURGE,true
40,00XT,ORG SURGE,true
40,AAPV,ORG SURGE,true
40,ABFL,ORG SURGE,true
40,ADKH,ORG SURGE,true
40,ADLS,ORG SURGE,true
40,AELU,ORG SURGE,true
40,AEQT,ORG SURGE,false
40,AJGX,ORG SURGE,true
40,ALRF,ORG SURGE,true
40,AMCQ,ORG SURGE,true
40,APFD,ORG SURGE,true
40,APGW,ORG SURGE,true
40,AVBU,ORG SURGE,true
40,AVYX,ORG SURGE,false
40,BBNQ,ORG SURGE,true
40,BBNV,ORG SURGE,true
40,BQWA,ORG SURGE,true
40,BSRL,ORG SURGE,true
40,CHCY,ORG SURGE,true
40,CWCP,ORG SURGE,false
40,CWGV,ORG SURGE,true
40,DKSD,ORG SURGE,true
40,DRUG,ORG SURGE,true
40,EDME,ORG SURGE,false
40,EGNN,ORG SURGE,false
40,ENCN,ORG SURGE,true
40,EZMU,ORG SURGE,true
40,FGDB,ORG SURGE,true
40,FGDD,ORG SURGE,true
40,FGTW,ORG SURGE,true
40,FMAZ,ORG SURGE,true
40,FNLD,ORG SURGE,true
40,FNSH,ORG SURGE,true
40,FQZF,ORG SURGE,true
40,GPEN,ORG SURGE,true
40,GWZP,ORG SURGE,true
40,HAGC,ORG SURGE,true
40,HMGB,ORG SURGE,true
40,HNTS,ORG SURGE,true
40,HUPR,ORG SURGE,true
40,JJRP,ORG SURGE,true
40,JSSN,ORG SURGE,true
40,JTVH,ORG SURGE,true
40,JWJY,ORG SURGE,true
40,JWTD,ORG SURGE,true
40,JXKM,ORG SURGE,true
40,JYPN,ORG SURGE,true
40,KZPH,ORG SURGE,true
40,KZTZ,ORG SURGE,true
40,LCMT,ORG SURGE,true
40,LKPE,ORG SURGE,false
40,LRNC,ORG SURGE,true
40,LSGM,ORG SURGE,true
40,LUTP,ORG SURGE,true
40,LWEV,ORG SURGE,true
40,LYAP,ORG SURGE,true
40,LYRV,ORG SURGE,false
40,LYTM,ORG SURGE,true
40,MKAG,ORG SURGE,true
40,MLDL,ORG SURGE,true
40,MMGH,ORG SURGE,true
40,MZJK,ORG SURGE,true
40,NBDY,ORG SURGE,true
40,NLFL,ORG SURGE,true
40,NNWH,ORG SURGE,true
40,NPTU,ORG SURGE,true
40,NSAN,ORG SURGE,true
40,PAXM,ORG SURGE,true
40,PCFC,ORG SURGE,false
40,PCFG,ORG SURGE,true
40,PKVP,ORG SURGE,true
40,PPSH,ORG SURGE,true
40,QCFF,ORG SURGE,true
40,QHPB,ORG SURGE,true
40,QHPD,ORG SURGE,true
40,QHPF,ORG SURGE,true
40,QNPW,ORG SURGE,true
40,QTUP,ORG SURGE,true
40,RCYQ,ORG SURGE,true
40,RCYT,ORG SURGE,true
40,RELG,ORG SURGE,true
40,REPV,ORG SURGE,true
40,RGJW,ORG SURGE,true
40,RQNK,ORG SURGE,true
40,RRHU,ORG SURGE,true
40,RRRK,ORG SURGE,true
40,RUAM,ORG SURGE,true
40,RUAQ,ORG SURGE,true
40,RULV,ORG SURGE,true
40,SBEA,ORG SURGE,true
40,SBEQ,ORG SURGE,true
40,SEA1,ORG SURGE,true
40,SERU,ORG SURGE,true
40,SMXS,ORG SURGE,true
40,STRM,ORG SURGE,true
40,SVCN,ORG SURGE,true
40,SYZZ,ORG SURGE,true
40,TGWS,ORG SURGE,true
40,TKDW,ORG SURGE,true
40,TNVX,ORG SURGE,true
40,TNZY,ORG SURGE,true
40,TPPR,ORG SURGE,true
40,TPRW,ORG SURGE,true
40,TQKG,ORG SURGE,true
40,TRZP,ORG SURGE,true
40,TVJD,ORG SURGE,true
40,TVXA,ORG SURGE,true
40,TZL4,ORG SURGE,true
40,TZYR,ORG SURGE,true
40,UMXA,ORG SURGE,true
40,UNAP,ORG SURGE,true
40,UTAC,ORG SURGE,true
40,UTVT,ORG SURGE,true
40,UULA,ORG SURGE,true
40,UULB,ORG SURGE,true
40,UULX,ORG SURGE,true
40,UYQR,ORG SURGE,true
40,UZXJ,ORG SURGE,true
40,VFVN,ORG SURGE,true
40,VKNP,ORG SURGE,true
40,VPRF,ORG SURGE,true
40,VSNF,ORG SURGE,false
40,WMPT,ORG SURGE,false
40,WPAU,ORG SURGE,true
40,WPVT,ORG SURGE,true
40,WQZM,ORG SURGE,true
40,WTJG,ORG SURGE,true
40,WYKZ,ORG SURGE,true
40,XEXW,ORG SURGE,true
40,XRVJ,ORG SURGE,false
40,XUDT,ORG SURGE,true
40,XVMN,ORG SURGE,true
40,XVRV,ORG SURGE,false
40,XYNK,ORG SURGE,true
40,YRTK,ORG SURGE,true
40,ZBES,ORG SURGE,true
40,ZMJJ,ORG SURGE,true
40,ZNMC,ORG SURGE,true
40,ZSJC,ORG SURGE,true
40,00A1,RRF,true
40,00IO,RRF,true
