StartName,StartGeo,EndName,EndGeo,Time
ALAMEDA,ADNA,GULFPORT,JTVH,2.4
ALAMEDA,ADNA,HOUSTON,LCMT,1.9
ALAMEDA,ADNA,INDIAN ISLAND,LKPE,2.3
ALAMEDA,ADNA,JACKSONVILLE,LSGM,3.2
ALAMEDA,ADNA,LONG BEACH,NPTU,1.8
ALAMEDA,ADNA,LOS ANGELES,NSAN,1.8
ALAMEDA,ADNA,MAYPORT NAVAL ST,PPSH,3.2
ALAMEDA,ADNA,MIAMI,QCFF,3.8
ALAMEDA,ADNA,MOREHEAD CITY,QTUP,3.5
ALAMEDA,ADNA,NEW ORLEANS,RQNK,2.4
ALAMEDA,ADNA,NEW YORK,RRHU,3.5
ALAMEDA,ADNA,NEW YORK PORT EMB,RRRK,3.6
ALAMEDA,ADNA,NEWPORT,RUAM,3.8
ALAMEDA,ADNA,NEWPORT T2,RUAQ,3.8
ALAMEDA,ADNA,NEWPORT NEWS,RULV,3.4
ALAMEDA,ADNA,NORFOLK,SBEA,3.4
ALAMEDA,ADNA,NORFOLK T2,SBEQ,3.4
ALAMEDA,ADNA,OAKLAND SEALAND T,SERU,2.1
ALAMEDA,ADNA,CITY OF COLORADO,TDHV,0.1
ALAMEDA,ADNA,PORT EVERGLADES,TNVX,3.7
ALAMEDA,ADNA,PORT HUENEME NCBC,TNZY,1.9
ALAMEDA,ADNA,PORTLAND,TQKG,2.1
ALAMEDA,ADNA,SAN DIEGO,UTAC,1.8
ALAMEDA,ADNA,SAN PEDRO,UULX,1.8
ALAMEDA,ADNA,SAVANNAH,UZXJ,3.1
ALAMEDA,ADNA,SEATTLE,VFVN,2.2
ALAMEDA,ADNA,SOUTHPORT MILITAR,WMPT,3.4
ALAMEDA,ADNA,TACOMA,WPVT,2.2
ALAMEDA,ADNA,VANCOUVER,XUDT,2.1
ALAMEDA,ADNA,WILMINGTON,ZBES,3.3
