Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
DPMZ,STRATEGIC,C-17,0,true,,,false
DPMZ,STRATEGIC,C-5A,0,true,,,false
DPMZ,STRATEGIC,CH47,0,true,,,false
DPMZ,STRATEGIC,KC-10,0,true,,,false
DPNB,STRATEGIC,B-747P,0,true,,,false
DPNB,STRATEGIC,C-17,0,true,,,false
DPNB,STRATEGIC,C-5A,0,true,,,false
DPNB,STRATEGIC,CH47,0,true,,,false
DPNB,STRATEGIC,KC-10,0,true,,,false
DTVB,STRATEGIC,B-747P,0,true,,,false
DTVB,STRATEGIC,C-17,0,true,,,false
DTVB,STRATEGIC,C-5A,0,true,,,false
DTVB,STRATEGIC,CH47,0,true,,,false
DTVB,STRATEGIC,KC-10,0,true,,,false
DVLK,STRATEGIC,B-747P,0,true,,,false
DVLK,STRATEGIC,C-17,0,true,,,false
DVLK,STRATEGIC,C-5A,0,true,,,false
DVLK,STRATEGIC,CH47,0,true,,,false
DVLK,STRATEGIC,KC-10,0,true,,,false
DYCS,STRATEGIC,B-747P,0,true,,,false
DYCS,STRATEGIC,C-17,0,true,,,false
DYCS,STRATEGIC,C-5A,0,true,,,false
DYCS,STRATEGIC,CH47,0,true,,,false
DYCS,STRATEGIC,KC-10,0,true,,,false
EAZP,STRATEGIC,B-747P,0,true,,,false
EAZP,STRATEGIC,C-17,0,true,,,false
EAZP,STRATEGIC,C-5A,0,true,,,false
EAZP,STRATEGIC,CH47,0,true,,,false
EAZP,STRATEGIC,KC-10,0,true,,,false
EDWC,STRATEGIC,B-747P,0,true,,,false
EDWC,STRATEGIC,C-17,0,true,,,false
EDWC,STRATEGIC,C-5A,0,true,,,false
EDWC,STRATEGIC,CH47,0,true,,,false
EDWC,STRATEGIC,KC-10,0,true,,,false
EEMW,STRATEGIC,B-747P,0,true,,,false
EEMW,STRATEGIC,C-17,0,true,,,false
EEMW,STRATEGIC,C-5A,0,true,,,false
EEMW,STRATEGIC,CH47,0,true,,,false
EEMW,STRATEGIC,KC-10,0,true,,,false
EEPZ,STRATEGIC,B-747P,0,true,,,false
EEPZ,STRATEGIC,C-17,0,true,,,false
EEPZ,STRATEGIC,C-5A,0,true,,,false
EEPZ,STRATEGIC,CH47,0,true,,,false
EEPZ,STRATEGIC,KC-10,0,true,,,false
ENCK,STRATEGIC,B-747P,0,true,,,false
ENCK,STRATEGIC,C-17,0,true,,,false
ENCK,STRATEGIC,C-5A,0,true,,,false
ENCK,STRATEGIC,CH47,0,true,,,false
ENCK,STRATEGIC,KC-10,0,true,,,false
EQDF,STRATEGIC,B-747P,0,true,,,false
EQDF,STRATEGIC,C-17,0,true,,,false
EQDF,STRATEGIC,C-5A,0,true,,,false
EQDF,STRATEGIC,CH47,0,true,,,false
EQDF,STRATEGIC,KC-10,0,true,,,false
ETZB,STRATEGIC,B-747P,0,true,,,false
ETZB,STRATEGIC,C-17,0,true,,,false
ETZB,STRATEGIC,C-5A,0,true,,,false
ETZB,STRATEGIC,CH47,0,true,,,false
ETZB,STRATEGIC,KC-10,0,true,,,false
EUBC,STRATEGIC,B-747P,0,true,,,false
EUBC,STRATEGIC,C-17,0,true,,,false
EUBC,STRATEGIC,C-5A,0,true,,,false
EUBC,STRATEGIC,CH47,0,true,,,false
EUBC,STRATEGIC,KC-10,0,true,,,false
EYBD,STRATEGIC,B-747P,0,true,,,false
EYBD,STRATEGIC,C-17,0,true,,,false
EYBD,STRATEGIC,C-5A,0,true,,,false
EYBD,STRATEGIC,CH47,0,true,,,false
EYBD,STRATEGIC,KC-10,0,true,,,false
EZSE,STRATEGIC,B-747P,0,true,,,false
EZSE,STRATEGIC,C-17,0,true,,,false
EZSE,STRATEGIC,C-5A,0,true,,,false
EZSE,STRATEGIC,CH47,0,true,,,false
EZSE,STRATEGIC,KC-10,0,true,,,false
EZTH,STRATEGIC,B-747P,0,true,,,false
EZTH,STRATEGIC,C-17,0,true,,,false
EZTH,STRATEGIC,C-5A,0,true,,,false
EZTH,STRATEGIC,CH47,0,true,,,false
EZTH,STRATEGIC,KC-10,0,true,,,false
FAKZ,STRATEGIC,B-747P,0,true,,,false
FAKZ,STRATEGIC,C-17,0,true,,,false
FAKZ,STRATEGIC,C-5A,0,true,,,false
FAKZ,STRATEGIC,CH47,0,true,,,false
FAKZ,STRATEGIC,KC-10,0,true,,,false
