Vehicle Backlog
ASSET POOL<String>,VEHICLE TYPE<String>,Time<Day>,Vehicle Backlog<Integer>
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,17,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,18,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,19,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,20,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,21,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,22,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,23,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,24,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,25,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,26,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,27,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,28,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,29,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,30,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,31,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,32,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,33,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,34,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,35,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,36,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,37,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,38,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,39,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,40,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,41,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,42,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,43,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,44,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,45,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,46,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,47,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,48,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,49,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,50,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,51,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,52,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,53,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,54,0
