KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I990+ 12320-1181,1181,36,36,,,,,,,,,,,intersection 1733,intersection 1734,,,,,,,,
I990+-800,800,36,36,,,,,,,,,,,intersection 1241,intersection 1242,,,,,,,,
I990-4780,4780,36,36,,,,,,,,,,,intersection 1241,intersection 1734,,,,,,,,
IH1 5078-575,575,15,15,,,,,,,,,,,intersection 924,intersection 749,,,,,,,,
IH1 5080-5193,5193,15,15,,,,,,,,,,,intersection 3428,intersection 924,,,,,,,,
IH1 5084-4800,4800,15,15,,,,,,,,,,,intersection 589,intersection 3428,,,,,,,,
IH1 5090-348,348,15,15,,,,,,,,,,,intersection 588,intersection 589,,,,,,,,
IH1 5093-5363,5363,15,15,,,,,,,,,,,intersection 750,intersection 175,,,,,,,,
IH1 5094-1548,1548,15,15,,,,,,,,,,,intersection 175,intersection 2160,,,,,,,,
IH1 5096-3324,3324,15,15,,,,,,,,,,,intersection 3391,intersection 2160,,,,,,,,
IH1 5097-4927,4927,15,15,,,,,,,,,,,intersection 3847,intersection 425,,,,,,,,
IH1 5098-4226,4226,15,15,,,,,,,,,,,intersection 3391,intersection 1118,,,,,,,,
IH1 5101-4434,4434,15,15,,,,,,,,,,,intersection 251,intersection 3686,,,,,,,,
IH1 5109-3704,3704,15,15,,,,,,,,,,,intersection 2988,intersection 588,,,,,,,,
IH1 5138-454,454,15,15,,,,,,,,,,,intersection 749,intersection 750,,,,,,,,
IH1 5143-4187,4187,15,15,,,,,,,,,,,intersection 384,intersection 2987,,,,,,,,
IH1 5144-5092,5092,15,15,,,,,,,,,,,intersection 3847,intersection 384,,,,,,,,
IH1+ 5104-753,753,15,15,,,,,,,,,,,intersection 1172,intersection 250,,,,,,,,
IH1+ 5107-2262,2262,15,15,,,,,,,,,,,intersection 926,intersection 1172,,,,,,,,
IH1+-142,142,15,15,,,,,,,,,,,intersection 250,intersection 251,,,,,,,,
IH1-2596,2596,15,15,,,,,,,,,,,intersection 2987,intersection 2988,,,,,,,,
IH2+-5298,5298,15,15,,,,,,,,,,,intersection 924,intersection 2624,,,,,,,,
IH201 5095-4778,4778,15,15,,,,,,,,,,,intersection 3687,intersection 425,,,,,,,,
IH201+ 5132-246,246,15,15,,,,,,,,,,,intersection 425,intersection 426,,,,,,,,
IH201+-4169,4169,15,15,,,,,,,,,,,intersection 3686,intersection 3687,,,,,,,,
IH201-5887,5887,15,15,,,,,,,,,,,intersection 426,intersection 544,,,,,,,,
IH3 5092-4595,4595,15,15,,,,,,,,,,,intersection 544,intersection 588,,,,,,,,
IH3+ 5087-831,831,15,15,,,,,,,,,,,intersection 1286,intersection 1287,,,,,,,,
IH3+-3167,3167,15,15,,,,,,,,,,,intersection 1287,intersection 544,,,,,,,,
IH3-3621,3621,15,15,,,,,,,,,,,intersection 1286,intersection 631,,,,,,,,
M}P-4254,4254,55,55,,,,,,,,,,,intersection 2269,intersection 1345,,,,,,,,
N20  S+-747,747,45,45,,,,,,,,,,,intersection 1166,intersection 298,,,,,,,,
N295-2765,2765,10,10,,,,,,,,,,,intersection 1135,intersection 1472,,,,,,,,
N540+-4105,4105,37,37,,,,,,,,,,,intersection 3669,intersection 3105,,,,,,,,
N540-4965,4965,37,37,,,,,,,,,,,intersection 3105,intersection 3854,,,,,,,,
