PARKING_NAME,AIRPORT_NAME, HOT_CARGO, NARROWBODY_PARKING_MOG, NARROWBODY_WORKING_MOG, NUMBER_FUEL_HYDRANTS, SMALLBODY_PARKING_MOG, SMALLBODY_WORKING_MOG, WIDEBODY_PARKING_MOG, WIDEBODY_WORKING_MOG, PRIORITY, MODIFY
LIBBY AAF-SIERRA -NEWR-JAP-PARKING,SIERRA VISTA MUNI -NEWR-JAP,,,,,,,,,0,
GREAT FALLS INTL -JKSE-IAP-PARKING,GREAT FALLS INTL -JKSE-IAP,,,,,,,,,0,
PHILADELPHIA INTL -TDXG-IAP-PARKING,PHILADELPHIA INTL -TDXG-IAP,,,,,,,,,0,
SYRACUSE HANCOCK -KBHT-JAP-PARKING,SYRACUSE HANCOCK -KBHT-JAP,,,,,,,,,0,
SAVANNAH -UZXM-AGS-PARKING,SAVANNAH -UZXM-AGS,,,,,,,,,0,
ARNOLD -ANZY-AFS-PARKING,ARNOLD -ANZY-AFS,,,,,,,,,0,
LANCASTER -MTET-CAP-PARKING,LANCASTER -MTET-CAP,,,,,,,,,0,
YUMA MCAS-YUMA IN -ZRCE-JAP-PARKING,YUMA INT -ZRCE-JAP,,,,,,,,,0,
LONG BEACH DAUGHE -NPTM-CAP-PARKING,LONG BEACH DAUGHE -NPTM-CAP,,,,,,,,,0,
MC CARRAN INTL -PQSY-CAP-PARKING,MC CARRAN INTL -PQSY-CAP,,,,,,,,,0,
ABSTON -ABAA-AGS-PARKING,ABSTON -ABAA-AGS,,,,,,,,,0,
SHAW AFB -VLSB-MAP-PARKING,SHAW AFB -VLSB-MAP,,,,,,,,,0,
