Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
DYCS,STRATEGIC,B-747P,0,true,,,0
DYCS,STRATEGIC,C-17,0,true,,,0
DYCS,STRATEGIC,C-5A,0,true,,,0
DYCS,STRATEGIC,CH47,0,true,,,0
DYCS,STRATEGIC,KC-10,0,true,,,0
EAZP,STRATEGIC,B-747P,0,true,,,9999
EAZP,STRATEGIC,C-17,0,true,,,9999
EAZP,STRATEGIC,C-5A,0,true,,,9999
EAZP,STRATEGIC,CH47,0,true,,,0
EAZP,STRATEGIC,KC-10,0,true,,,9999
EDWC,STRATEGIC,B-747P,0,true,,,9999
EDWC,STRATEGIC,C-17,0,true,,,9999
EDWC,STRATEGIC,C-5A,0,true,,,9999
EDWC,STRATEGIC,CH47,0,true,,,0
EDWC,STRATEGIC,KC-10,0,true,,,9999
EEMW,STRATEGIC,B-747P,0,true,,,9999
EEMW,STRATEGIC,C-17,0,true,,,9999
EEMW,STRATEGIC,C-5A,0,true,,,9999
EEMW,STRATEGIC,CH47,0,true,,,0
EEMW,STRATEGIC,KC-10,0,true,,,9999
EEPZ,STRATEGIC,B-747P,0,true,,,9999
EEPZ,STRATEGIC,C-17,0,true,,,9999
EEPZ,STRATEGIC,C-5A,0,true,,,9999
EEPZ,STRATEGIC,CH47,0,true,,,0
EEPZ,STRATEGIC,KC-10,0,true,,,9999
ENCK,STRATEGIC,B-747P,0,true,,,9999
ENCK,STRATEGIC,C-17,0,true,,,9999
ENCK,STRATEGIC,C-5A,0,true,,,9999
ENCK,STRATEGIC,CH47,0,true,,,0
ENCK,STRATEGIC,KC-10,0,true,,,9999
EQDF,STRATEGIC,B-747P,0,true,,,9999
EQDF,STRATEGIC,C-17,0,true,,,9999
EQDF,STRATEGIC,C-5A,0,true,,,9999
EQDF,STRATEGIC,CH47,0,true,,,0
EQDF,STRATEGIC,KC-10,0,true,,,9999
ETZB,STRATEGIC,B-747P,0,true,,,0
ETZB,STRATEGIC,C-17,0,true,,,0
ETZB,STRATEGIC,C-5A,0,true,,,0
ETZB,STRATEGIC,CH47,0,true,,,0
ETZB,STRATEGIC,KC-10,0,true,,,0
EUBC,STRATEGIC,B-747P,0,true,,,9999
EUBC,STRATEGIC,C-17,0,true,,,9999
EUBC,STRATEGIC,C-5A,0,true,,,9999
EUBC,STRATEGIC,CH47,0,true,,,0
EUBC,STRATEGIC,KC-10,0,true,,,9999
