RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
0NACC,A,7,PSYOP OPNL SPT COMPANY,,,PKNEE,P,,34363,,,,,0,0,CO,0,,,,Y,,,false,false,,,,33707L000
0NACP,A,7,PSYOP OPNL SPT COMPANY,,,PKNEE,C,,34363,,,,,110,0,CO,110,,,,Y,,,false,false,,,,33707L000
0QAAC,A,7,"ENGR CBT BN, ABN",,,4P222,P,,21350,,,,,0,0,BN,0,,,,Y,,,false,false,,,,05445L100
0QAAP,A,7,"ENGR CBT BN, ABN",,,4P222,C,,21350,,,,,580,0,BN,580,,,,Y,,,false,false,,,,05445L100
0QAEC,A,7,"ENGR CBT BN, CORPS",,,48AAT,P,,21353,,,,,0,0,BN,0,,,,Y,,,false,false,,,,05035H500
0QAEP,A,7,"ENGR CBT BN, CORPS",,,48AAT,C,,21353,,,,,784,0,BN,784,,,,Y,,,false,false,,,,05035H500
0QAFC,A,7,"ENGR CBT BN, ABN",,,4P222,P,,21350,,,,,0,0,BN,0,,,,Y,,,false,false,,,,05445L100
0QAFP,A,7,"ENGR CBT BN, ABN",,,4P222,C,,21350,,,,,580,0,BN,580,,,,Y,,,false,false,,,,05445L100
0QBJ,A,7,ENGR FFTG TM   WATER TRUC,,,4AAFZ,S,,31575,,,,,2,0,TM,2,,,,Y,,,false,false,,,,
0RAAC,A,7,FORWARD OPNS BN  ABN,,,6ZB22,P,,35037,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0RAAP,A,7,FORWARD OPNS BN  ABN,,,6ZB22,C,,35037,,,,,514,0,BN,514,,,,Y,,,false,false,,,,
