RLN,Category,Mtons,Stons
0YBTP,NAT,0,0
0YBTP,OUT,0,0
0YBTP,OVR,0,0
0YBUC,BLK,2719,904
0YBUC,NAT,0,0
0YBUC,OUT,283,86.099998
0YBUC,OVR,3660,737.700012
0YBUP,BLK,0,0
0YBUP,NAT,0,0
0YBUP,OUT,0,0
0YBUP,OVR,0,0
0YBVC,BLK,90,35.200001
0YBVC,NAT,0,0
0YBVC,OUT,120,38.200001
0YBVC,OVR,2119,598.599976
0YBVP,BLK,0,0
0YBVP,NAT,0,0
0YBVP,OUT,0,0
0YBVP,OVR,0,0
0YBWC,BLK,47,19
0YBWC,NAT,0,0
0YBWC,OUT,60,19
0YBWC,OVR,804,161
0YBWP,BLK,0,0
0YBWP,NAT,0,0
0YBWP,OUT,0,0
0YBWP,OVR,0,0
0YBYC,BLK,55,22
0YBYC,NAT,0,0
0YBYC,OUT,0,0
0YBYC,OVR,801,219
0YBYP,BLK,0,0
0YBYP,NAT,0,0
0YBYP,OUT,0,0
0YBYP,OVR,0,0
0YC C,BLK,46,15.7
0YC C,NAT,0,0
0YC C,OUT,154,43.200001
0YC C,OVR,421,83.699997
0YC P,BLK,0,0
0YC P,NAT,0,0
0YC P,OUT,0,0
0YC P,OVR,0,0
0YCAC,BLK,284,115.099998
0YCAC,OUT,616,204.399994
0YCAC,OVR,1638.5,411.399994
0YCAP,BLK,0,0
0YCAP,NAT,0,0
0YCAP,OUT,0,0
0YCAP,OVR,0,0
0YCBC,BLK,284,115.099998
0YCBC,OUT,616,204.399994
0YCBC,OVR,1638.5,411.399994
0YCBP,BLK,0,0
0YCBP,NAT,0,0
0YCBP,OUT,0,0
0YCBP,OVR,0,0
0YCCC,BLK,284,115.099998
0YCCC,OUT,616,204.399994
0YCCC,OVR,1638.5,411.399994
0YCCP,BLK,0,0
0YCCP,NAT,0,0
0YCCP,OUT,0,0
0YCCP,OVR,0,0
0ZABC,BLK,120,48.099998
0ZABC,NAT,0,0
0ZABC,OUT,0,0
0ZABC,OVR,1739,297.700012
0ZABP,BLK,0,0
0ZABP,NAT,0,0
0ZABP,OUT,0,0
0ZABP,OVR,0,0
0ZACA,BLK,0,0
0ZACA,NAT,0,0
0ZACA,OUT,0,0
0ZACA,OVR,0,0
0ZACB,BLK,0,0
0ZACB,NAT,0,0
0ZACB,OUT,0,0
0ZACB,OVR,0,0
0ZACD,BLK,0,0
0ZACD,NAT,0,0
0ZACD,OUT,0,0
0ZACD,OVR,0,0
0ZACG,BLK,0,0
0ZACG,NAT,0,0
0ZACG,OUT,0,0
0ZACG,OVR,0,0
0ZACH,BLK,0,0
0ZACH,NAT,0,0
0ZACH,OUT,0,0
0ZACH,OVR,0,0
0ZBB,BLK,48,17.700001
0ZBB,NAT,0,0
0ZBB,OUT,52,25.6
0ZBB,OVR,736,181.899994
0ZCB,BLK,398,172
0ZCB,NAT,0,0
0ZCB,OUT,1107,556.900024
0ZCB,OVR,7566,2507.199951
0ZDA,BLK,48,17.700001
0ZDA,NAT,0,0
0ZDA,OUT,52,25.6
0ZDA,OVR,736,181.899994
0ZDB,BLK,398,172
0ZDB,NAT,0,0
0ZDB,OUT,1107,556.900024
0ZDB,OVR,7566,2507.199951
0ZDC,BLK,398,172
0ZDC,NAT,0,0
0ZDC,OUT,1107,556.900024
0ZDC,OVR,7566,2507.199951
0ZHCC,BLK,423.899994,175.199997
0ZHCC,OUT,6204.200195,4807.299805
0ZHCC,OVR,4324.100098,1433.400024
0ZHCP,BLK,0,0
0ZHCP,NAT,0,0
0ZHCP,OUT,0,0
0ZHCP,OVR,0,0
0ZHFC,BLK,423.899994,175.199997
0ZHFC,OUT,6204.200195,4807.299805
0ZHFC,OVR,4324.100098,1433.400024
0ZHFP,BLK,0,0
0ZHFP,NAT,0,0
0ZHFP,OUT,0,0
0ZHFP,OVR,0,0
5BCAA,BLK,9,0.5
5BCAA,NAT,0,0
5BCAA,OUT,0,0
5BCAA,OVR,0,0
5CCAB,BLK,20.1,2.8
5CCAB,OVR,9.9,1.4
5CCAD,BLK,20.1,2.8
5CCAD,OVR,9.9,1.4
5CCAU,BLK,20.1,2.8
5CCAU,OVR,9.9,1.4
5CCAV,BLK,20.1,2.8
5CCAV,OVR,9.9,1.4
5HDC9,BLK,8.4,3
5NMH1,BLK,10,8.1
5NMH1,NAT,0,0
5NMH1,OUT,0,0
5NMH1,OVR,0,0
