RLN,Origin,RLD,POEModeSource,POE,ALD,PODModeSource,POD,EAD,LAD,DestModeSource,Destination,RDD,JopesPriority,PriorityAddOn,PODDischargeConstraint,PODLoadConfigCode,DestDischargeConstraint,DestLoadConfigCode
00JFA,HCTL,11,LM,TMKH,19,AK,FUQN,19,25,LD,WSVC,27,214,,,,,
03AEC,HFTZ,15,LG,QTUP,23,SE,HNTS,35,40,LD,WSVC,40,214,,,,,
03AEP,HFTZ,15,LM,UHGN,36,AK,FUQN,35,38,LD,WSVC,38,214,,,,,
03AFC,HFTZ,15,LG,DKSD,22,SE,VKNP,35,40,LD,WSVC,40,214,,,,,
03AFP,HFTZ,15,LG,UHGN,37,AK,FUQN,35,38,LD,WSVC,38,214,,,,,
03AGC,HFTZ,2,LG,DKSD,20,SE,HNTS,28,33,LD,NWXN,34,214,,,,,
03AGP,HFTZ,2,LG,UHGN,28,AK,JEAH,28,33,XX,JEAH,34,214,,,,,
03AJC,HFTZ,2,LG,JTVH,14,SE,VKNP,28,33,LD,NWXN,34,214,,,,,
03AJP,HFTZ,2,LG,UHGN,29,AK,JEAH,28,33,XX,JEAH,34,214,,,,,
03AKC,HFTZ,2,LG,QTUP,17,SE,VKNP,28,33,LD,NWXN,34,214,,,,,
03AKP,HFTZ,2,LG,UHGN,30,AK,JEAH,28,33,XX,JEAH,34,214,,,,,
03AUC,HFTZ,2,LG,QTUP,17,SE,VKNP,28,33,LD,NWXN,34,214,,,,,
03AUP,HFTZ,2,LG,UHGN,30,AK,JEAH,28,33,XX,JEAH,34,214,,,,,
04DDC,HJVH,0,LG,ZBES,14,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
04DDP,HJVH,0,LM,GAMH,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0DAAC,HCTL,0,LM,DKSD,16,SE,HNTS,24,28,LD,HPBF,30,214,,,,,
0DAAP,HCTL,0,LM,TMKH,24,AK,HNTK,24,28,LD,HPBF,30,214,,,,,
0DBBC,HCTL,0,LM,QTUP,16,SE,HNTS,24,28,LD,HPBF,30,214,,,,,
0DBBP,HCTL,0,LM,TMKH,24,AK,HNTK,24,28,LD,HPBF,30,214,,,,,
0DBCC,HCTL,0,LM,DKSD,15,SE,HNTS,24,28,LD,HPBF,30,214,,,,,
0DBCP,HCTL,0,LM,TMKH,24,AK,HNTK,24,28,LD,HPBF,30,214,,,,,
0DBDC,HCTL,0,LM,DKSD,15,SE,HNTS,24,28,LD,HPBF,30,214,,,,,
0DBDP,HCTL,0,LM,TMKH,24,AK,HNTK,24,28,LD,HPBF,30,214,,,,,
0EBFC,HGSH,0,LG,DKSD,15,SE,HNTS,22,30,LD,HPBF,32,214,,,,,
0EBFP,HGSH,0,LG,YWHG,22,AK,HNTK,22,25,LD,HPBF,32,214,,,,,
0EBQC,HJVH,0,LG,DKSD,15,SE,HNTS,22,30,LD,HPBF,32,214,,,,,
0EBQP,HJVH,0,LG,GAMH,22,AK,HNTK,22,30,LD,HPBF,32,214,,,,,
0EBRC,HGSH,0,LG,DKSD,15,SE,HNTS,22,30,LD,HPBF,32,214,,,,,
0EBRP,HGSH,0,LG,YWHG,22,AK,HNTK,22,25,LD,HPBF,32,214,,,,,
0EGBC,HCTL,9,LG,JTVH,14,SE,VKNP,30,34,LD,WSVC,36,214,,,,,
0EGBP,HCTL,9,LG,TMKH,31,AK,FUQN,30,32,LD,WSVC,36,214,,,,,
0HBGC,HERT,0,LG,SBEA,0,SE,HNTS,0,999,XX,HNTS,0,214,,N,A,N,N
0HBGP,HERT,0,LG,MUHJ,0,AK,HNTK,0,999,LD,HNTS,0,214,,N,A,N,N
0HBH,HERT,0,LG,MUHJ,0,AK,HNTK,0,999,LD,HNTS,0,214,,N,A,N,N
0HBL,HERT,0,LG,SBEA,0,SE,HNTS,0,999,XX,HNTS,0,214,,N,A,N,N
0HEDC,HCML,0,LG,QTUP,14,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
0HEDP,HCML,0,LM,PNQS,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0HEEC,HCRL,0,LG,ZBES,14,SE,HNTS,17,21,LD,HNTM,22,214,,,,,
0HEEP,HCRL,0,LG,BPWZ,17,AK,HNTK,17,21,LD,HNTM,22,214,,,,,
