pool_num,node_name,is_from_node
6,EDUG,1
6,FWEV,1
6,CRWU,1
6,KJGW,1
6,SGNV,1
6,UEND,1
6,EXGM,1
6,XUEX,1
6,BAEY,1
6,FERX,1
6,SGPA,1
6,RZJQ,1
7,EXAN,1
7,CMZJ,1
7,YBKR,1
7,XQKZ,1
7,XLEW,1
7,LYNH,1
7,UFSC,1
7,NLZG,1
7,EPKA,1
7,VZUR,1
7,ETMB,1
7,QCDH,1
7,SCTF,1
7,GUQE,1
7,EFGX,1
7,LWRC,1
7,DPMD,1
7,YMXT,1
7,SGBP,1
7,UGCF,1
7,QKTA,1
7,LTUJ,1
7,FSJA,1
7,EWFL,1
7,YWBX,1
7,DPLX,1
7,LYLC,1
7,ESPS,1
7,MUUU,1
7,BSEM,1
7,TPAR,1
7,QHLE,1
7,NGCS,1
7,AMVP,1
7,UZLZ,1
7,MCYS,1
7,TFMT,1
7,YAQF,1
7,TDKP,1
7,ZQLL,1
7,VXXK,1
7,PSBE,1
7,KXPD,1
7,VYNX,1
7,HTUV,1
7,SWHZ,1
7,FPZW,1
7,YLZT,1
7,MFSZ,1
7,WMWC,1
7,QFNM,1
7,HCKL,1
7,QJKS,1
7,FFJF,1
7,UMEL,1
7,YKVG,1
7,HGNC,1
7,WTVR,1
7,JLQN,1
7,EFHH,1
7,WYTD,1
7,FFKG,1
7,WYPX,1
7,ZHTP,1
7,LNLM,1
7,YMAG,1
7,MYKJ,1
7,ARUZ,1
7,JKWP,1
7,YJQA,1
7,SHA5,1
7,CMHF,1
7,BVGM,1
7,FMLH,1
7,FBDH,1
7,PRXK,1
7,HEFE,1
7,LDXF,1
7,AMES,1
7,ZRVL,1
7,ZHUE,1
7,LYNK,1
7,ADHB,1
7,HTUX,1
7,GVGZ,1
7,KKGA,1
7,JAFZ,1
7,TZRL,1
7,MQUZ,1
7,LGAA,1
7,FRLV,1
7,DTVP,1
7,AYZZ,1
7,HKXZ,1
7,DPNB,1
7,NLZL,1
7,EDYN,1
7,VSTP,1
7,AJND,1
7,FAQZ,1
7,ESBW,1
7,SNKA,1
7,PBDH,1
7,SJRM,1
7,PASP,1
7,UJJA,1
7,AMCG,1
7,WYYD,1
7,QJKL,1
7,AZJH,1
7,LMDV,1
7,DNJC,1
7,MQEJ,1
7,FRPD,1
7,PHMS,1
7,UEBP,1
7,LFWC,1
7,HLLL,1
7,LVMC,1
7,AHQM,1
7,SBKE,1
7,NXHE,1
7,VSTN,1
7,LLFN,1
7,HEMP,1
7,HKSZ,1
7,LUXC,1
7,MBMV,1
7,FFAJ,1
7,ATQZ,1
7,VSRP,1
7,LLFQ,1
7,CTGC,1
7,QJNT,1
7,WDEY,1
7,EWFK,1
7,JZQS,1
7,BFTZ,1
7,BUWC,1
7,MFTE,1
7,FMKT,1
7,SJRF,1
7,HFMZ,1
7,YPAZ,1
7,DPNV,1
7,ZHTV,1
7,PBXP,1
7,UMHZ,1
7,TJYZ,1
7,LKEV,1
7,JMCZ,1
7,FMKZ,1
7,DPMA,1
7,CWBG,1
7,WADJ,1
7,DGGB,1
7,TSDG,1
7,UJHQ,1
7,WAAR,1
7,WAAZ,1
7,XPRF,1
7,LYNS,1
7,EUFN,1
7,DTVB,1
7,TDKF,1
7,HKLN,1
7,SJZQ,1
7,UZVD,1
7,DTWB,1
7,ZDXA,1
7,WCNN,1
7,VGLZ,1
7,UJJB,1
7,FCHZ,1
7,MBLS,1
7,VUKL,1
7,ZRUZ,1
7,KFKV,1
7,FMLT,1
7,APNG,1
7,LVTN,1
7,VURP,1
7,KUHK,1
7,SWMT,1
7,DPMZ,1
7,HKBN,1
7,WCJX,1
7,XGFG,1
7,NGCB,1
7,LYNM,1
7,DRYL,1
7,EFGV,1
7,DGGD,1
7,MMQR,1
7,CTGB,1
7,HSUG,1
7,JKWF,1
7,YNEF,1
7,XAHR,1
7,UQJP,1
7,TNQV,1
7,PKRY,1
7,VVYR,1
7,WCPS,1
7,WSSB,1
7,ERCH,1
7,PFTE,1
7,TCKF,1
7,FFAR,1
7,FFJG,1
7,LWLZ,1
7,JGMH,1
7,HABZ,1
7,QPMA,1
7,PBXH,1
7,QYDL,1
7,FMEN,1
7,FCKD,1
7,EUBC,1
7,FDVA,1
7,DCFT,1
7,YNWK,1
7,VSSB,1
7,VVYX,1
7,MZXD,1
7,CSJF,1
7,NEQR,1
7,TBBT,1
7,DYCZ,1
7,GVDN,1
7,EFGH,1
7,VXWQ,1
7,LTVJ,1
7,ULYB,1
7,JKWG,1
7,HEMT,1
7,JKWE,1
7,YMXZ,1
7,QMDU,1
7,QHMA,1
8,THJC,1
8,VHAW,1
8,HFMZ,1
8,RPWN,1
8,TTWX,1
8,QYDL,1
8,CAMK,1
8,UABS,1
8,RSDQ,1
8,WPJC,1
8,HKYZ,1
8,DYVS,1
8,WXVK,1
8,MYMU,1
8,PVSD,1
8,HRLU,1
8,ESLM,1
8,HKZZ,1
8,RHTC,1
8,PVKT,1
8,FKNN,1
8,RRHQ,1
8,AVND,1
8,FQZF,1
8,KBHT,1
8,DYCZ,1
8,WHAY,1
8,TQGJ,1
8,YLDM,1
8,CEKT,1
8,GMGG,1
8,NBHN,1
8,RPCM,1
8,PNCZ,1
8,RRJJ,1
8,PUCT,1
8,AZTE,1
8,TECV,1
8,KEMJ,1
8,YTPM,1
8,TWLR,1
8,TDEE,1
8,UNFA,1
8,MYMW,1
8,JLSS,1
8,FKLK,1
8,HFHZ,1
8,LKLW,1
8,ERIE,1
8,HHYL,1
8,CURZ,1
8,FKLJ,1
8,LHNZ,1
8,CMMC,1
8,WXVE,1
8,GRAQ,1
8,RVKQ,1
8,CLXR,1
8,TDXT,1
8,XAUD,1
8,PTFM,1
8,FQZJ,1
8,RVKC,1
