Geoloc,Name,Day,Enabled,Description,EventPhase,Length,Depth,Width,ApronWidth,TankerLoadRate,PolConnections
PKVP,PKVPGENERAL PU01,0,true,,,3444,33,800,60,2000,0
PCFG,PCFGVISA      01,0,true,,,9999,99,800,60,2000,0
PCFC,PCFCVISA      01,0,true,,,9999,99,800,60,2000,0
QTUP,MOREHEAD CITY All PurP-QTUP -19793,0,true,,,5000,55,800,120,2000,0
ZNMC,ZNMCBBULK/RORO01,0,true,,,1968,33,800,60,2000,0
ZNMC,ZNMCBBULK/RORO02,0,true,,,1148,26,800,60,2000,0
ZNMC,ZNMCBBULK/RORO03,0,true,,,1100,32,800,60,2000,0
ZNMC,ZNMCBBULK/RORO04,0,true,,,940,32,800,60,2000,0
ZNMC,ZNMCGENERAL PU01,0,true,,,1968,40,800,60,2000,0
ZNMC,ZNMCGENERAL PU02,0,true,,,1640,40,800,60,2000,0
ZNMC,ZNMCGENERAL PU03,0,true,,,2033,36,800,60,2000,0
ZNMC,ZNMCGENERAL PU04,0,true,,,984,42,800,60,2000,0
ZNMC,ZNMCGENERAL PU05,0,true,,,984,42,800,60,2000,0
ZNMC,ZNMCRORO      01,0,true,,,1100,24,800,60,2000,0
ZNMC,ZNMCVISA      01,0,true,,,9999,99,800,60,2000,0
UYQR,UYQRBREAKBULK 01,0,true,,,606,33,800,60,2000,0
UYQR,UYQRGENERAL PU01,0,true,,,623,36,800,60,2000,0
TPRW,TPRWVISA      01,0,true,,,9999,99,800,60,2000,0
LUTP,LUTPBBULK/RORO01,0,true,,,2378,44,800,60,2000,0
LUTP,LUTPBBULK/RORO02,0,true,,,1968,44,800,60,2000,0
LUTP,LUTPBBULK/RORO03,0,true,,,1394,44,800,60,2000,0
LUTP,LUTPBBULK/RORO04,0,true,,,890,39,800,60,2000,0
LUTP,LUTPBBULK/RORO05,0,true,,,1230,39,800,60,2000,0
LUTP,LUTPBBULK/RORO06,0,true,,,5904,39,800,60,2000,0
