Name,GeolocCode,Active,FromDay,ToDay,CraneType,Quantity,ContainerOffloadRate,ContainerOnloadRate,BreakbulkOffloadRate,BreakbulkOnloadRate,ServesAll
WPAUGENERAL PU01_Crane,WPAU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
00XTALL-PURPOS01_Crane,00XT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MobCranes: SOUSSE -VXTY-PRT,VXTY,true,-999,99999,MOBILE,2,100,100,3000,3000,false
WTJGVISA      01_Crane,WTJG,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
SMXSVISA      01_Crane,SMXS,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
ENCNBBULK/RORO01_Crane,ENCN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ENCNBBULK/RORO02_Crane,ENCN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ENCNBREAKBULK 01_Crane,ENCN,true,-999,99999,MOBILE,1,450,450,1800,1800,false
ENCNGENERAL PU01_Crane,ENCN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
Container: ADLS berth container 1,ADLS,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: ADLS berth container 1,ADLS,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Gantry: ADLS berth general purpose 1,ADLS,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Container: ADLS berth general purpose 1,ADLS,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
MobCranes: AL MAHDIYAH -ADLS-PRT,ADLS,true,-999,99999,MOBILE,2,100,100,3000,3000,true
RBXHBBULK/RORO01_Crane,RBXH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
RBXHGENERAL PU01_Crane,RBXH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
XRVJVISA      01_Crane,XRVJ,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MobCranes: PORTO FARINA -TQPB-PRT,TQPB,true,-999,99999,MOBILE,2,100,100,3000,3000,false
MobCranes: ZARZIS -ZSAK-PRT,ZSAK,true,-999,99999,MOBILE,2,100,100,3000,3000,false
NORFOLK gantry crane-SBEA,SBEA,true,-999,99999,GANTRY,10,288,288,8000,8000,true
JXKMGENERAL PU01_Crane,JXKM,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
JXKMVISA      01_Crane,JXKM,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
gantry crane-FQZF Terminal-19856,FQZF,true,-999,99999,GANTRY,10,288,288,8000,8000,true
TVJDBBULK/CONT01_Crane,TVJD,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TVJDBBULK/RORO01_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDBREAKBULK 01_Crane,TVJD,true,-999,99999,MOBILE,1,450,450,1800,1800,false
TVJDBREAKBULK 02_Crane,TVJD,true,-999,99999,MOBILE,1,450,450,1800,1800,false
TVJDBREAKBULK 03_Crane,TVJD,true,-999,99999,MOBILE,1,450,450,1800,1800,false
TVJDBREAKBULK 04_Crane,TVJD,true,-999,99999,MOBILE,1,450,450,1800,1800,false
TVJDGENERAL PU01_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU02_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU03_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU04_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU05_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU06_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU07_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU08_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU09_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU10_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU11_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU12_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDGENERAL PU13_Crane,TVJD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVJDVISA      01_Crane,TVJD,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
VSNFVISA      01_Crane,VSNF,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
SBEQ CRANE,SBEQ,true,0,99999,MOBILE,3,288,288,8000,8000,true
TNZYBBULK/RORO01_Crane,TNZY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TNZYBBULK/RORO02_Crane,TNZY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TNZYBBULK/RORO03_Crane,TNZY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TNZYBBULK/RORO04_Crane,TNZY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TNZYBBULK/RORO05_Crane,TNZY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TNZYBREAKBULK 01_Crane,TNZY,true,-999,99999,MOBILE,1,450,450,1800,1800,false
Container: Safaqis NW-2 berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: Safaqis NE-1 berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Gantry: Safaqis NW-2 berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Container: Safaqis tanker berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: Safaqis NW-1 berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Container: Safaqis NW-1 berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: Safaqis cont-1 berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
