Name,GeolocCode,BerthType,BerthGroup,Active,FromDay,ToDay,Length,ShipSpacing,Depth,Width,ApronWidth,MilitaryAvailable,TankerLoadRate,AllowableCargo,Overhang,PolConnections
UNAPBBULK/RORO10,UNAP,BBULK/RORO,UNAPBBULK/RORO10,false,0,99999,3000,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO11,UNAP,BBULK/RORO,UNAPBBULK/RORO11,false,0,99999,600,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO12,UNAP,BBULK/RORO,UNAPBBULK/RORO12,false,0,99999,600,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO13,UNAP,BBULK/RORO,UNAPBBULK/RORO13,false,0,99999,600,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO14,UNAP,BBULK/RORO,UNAPBBULK/RORO14,false,0,99999,600,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO15,UNAP,BBULK/RORO,UNAPBBULK/RORO15,false,0,99999,600,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO16,UNAP,BBULK/RORO,UNAPBBULK/RORO16,false,0,99999,600,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO17,UNAP,BBULK/RORO,UNAPBBULK/RORO17,false,0,99999,5256,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO18,UNAP,BBULK/RORO,UNAPBBULK/RORO18,true,0,99999,700,50,42,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO19,UNAP,BBULK/RORO,UNAPBBULK/RORO19,false,0,99999,700,50,36,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO20,UNAP,BBULK/RORO,UNAPBBULK/RORO20,false,0,99999,750,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO21,UNAP,BBULK/RORO,UNAPBBULK/RORO21,false,0,99999,750,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO22,UNAP,BBULK/RORO,UNAPBBULK/RORO22,false,0,99999,750,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO23,UNAP,BBULK/RORO,UNAPBBULK/RORO23,false,0,99999,750,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO24,UNAP,BBULK/RORO,UNAPBBULK/RORO24,false,0,99999,750,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO25,UNAP,BBULK/RORO,UNAPBBULK/RORO25,false,0,99999,6795,50,34,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU01,UNAP,GENERAL PURP,UNAPGENERAL PU01,false,0,99999,1148,50,30,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU02,UNAP,GENERAL PURP,UNAPGENERAL PU02,false,0,99999,2624,50,40,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU03,UNAP,GENERAL PURP,UNAPGENERAL PU03,true,0,99999,2624,50,43,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU04,UNAP,GENERAL PURP,UNAPGENERAL PU04,false,0,99999,2624,50,35,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU05,UNAP,GENERAL PURP,UNAPGENERAL PU05,false,0,99999,4100,50,32,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU06,UNAP,GENERAL PURP,UNAPGENERAL PU06,true,0,99999,1256,50,36,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU07,UNAP,GENERAL PURP,UNAPGENERAL PU07,false,0,99999,5900,50,32,800,60,true,2000,BOTH,0,0
UNAPGENERAL PU08,UNAP,GENERAL PURP,UNAPGENERAL PU08,false,0,99999,3600,50,32,800,60,true,2000,BOTH,0,0
UNAPVISA      01,UNAP,VISA,UNAPVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
LYRVVISA      01,LYRV,VISA,LYRVVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
AELUVISA      01,AELU,VISA,AELUVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
NNWHVISA      01,NNWH,VISA,NNWHVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO01,ABFL,BBULK/RORO,ABFLBBULK/RORO01,true,0,99999,1772,50,36,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO02,ABFL,BBULK/RORO,ABFLBBULK/RORO02,true,0,99999,1181,50,43,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO03,ABFL,BBULK/RORO,ABFLBBULK/RORO03,true,0,99999,2214,50,43,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO04,ABFL,BBULK/RORO,ABFLBBULK/RORO04,false,0,99999,1180,50,36,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO05,ABFL,BBULK/RORO,ABFLBBULK/RORO05,false,0,99999,1180,50,36,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO06,ABFL,BBULK/RORO,ABFLBBULK/RORO06,false,0,99999,1770,50,36,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO07,ABFL,BBULK/RORO,ABFLBBULK/RORO07,true,0,99999,1180,50,39,800,60,true,2000,BOTH,0,0
ABFLBBULK/RORO08,ABFL,BBULK/RORO,ABFLBBULK/RORO08,false,0,99999,1295,50,36,800,60,true,2000,BOTH,0,0
ABFLBREAKBULK 01,ABFL,BREAKBULK,ABFLBREAKBULK 01,true,0,99999,623,50,46,800,60,true,2000,BOTH,0,0
ABFLBREAKBULK 02,ABFL,BREAKBULK,ABFLBREAKBULK 02,false,0,99999,2063,50,30,800,60,true,2000,BOTH,0,0
ABFLGENERAL PU01,ABFL,GENERAL PURP,ABFLGENERAL PU01,true,0,99999,3148,50,43,800,60,true,2000,BOTH,0,0
ABFLGENERAL PU02,ABFL,GENERAL PURP,ABFLGENERAL PU02,false,0,99999,1180,50,39,800,60,true,2000,BOTH,0,0
ABFLGENERAL PU03,ABFL,GENERAL PURP,ABFLGENERAL PU03,false,0,99999,1574,50,46,800,60,true,2000,BOTH,0,0
ABFLVISA      01,ABFL,VISA,ABFLVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TQKGGENERAL PU01,TQKG,GENERAL PURP,TQKGGENERAL PU01,true,0,99999,2876,50,40,800,60,true,2000,BOTH,0,0
TQKGVISA      01,TQKG,VISA,TQKGVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
QNPWBBULK/RORO01,QNPW,BBULK/RORO,QNPWBBULK/RORO01,false,0,99999,1607,50,49,800,60,true,2000,BOTH,0,0
QNPWBREAKBULK 01,QNPW,BREAKBULK,QNPWBREAKBULK 01,false,0,99999,551,50,29,800,60,true,2000,BOTH,0,0
AJGXVISA      01,AJGX,VISA,AJGXVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
RELGVISA      01,RELG,VISA,RELGVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TVXABBULK/RORO01,TVXA,BBULK/RORO,TVXABBULK/RORO01,false,0,99999,750,50,31,800,60,true,2000,BOTH,0,0
TVXABBULK/RORO02,TVXA,BBULK/RORO,TVXABBULK/RORO02,false,0,99999,650,50,30,800,60,true,2000,BOTH,0,0
TVXABBULK/RORO03,TVXA,BBULK/RORO,TVXABBULK/RORO03,false,0,99999,1200,50,28,800,60,true,2000,BOTH,0,0
TVXABREAKBULK 01,TVXA,BREAKBULK,TVXABREAKBULK 01,false,0,99999,600,50,30,800,60,true,2000,BOTH,0,0
TVXAGENERAL PU01,TVXA,GENERAL PURP,TVXAGENERAL PU01,true,0,99999,1500,50,34,800,60,true,2000,BOTH,0,0
TVXAGENERAL PU02,TVXA,GENERAL PURP,TVXAGENERAL PU02,false,0,99999,1200,50,30,800,60,true,2000,BOTH,0,0
ADKHBBULK/RORO01,ADKH,BBULK/RORO,ADKHBBULK/RORO01,false,0,99999,2460,50,29,800,60,true,2000,BOTH,0,0
ADKHBBULK/RORO02,ADKH,BBULK/RORO,ADKHBBULK/RORO02,false,0,99999,2460,50,29,800,60,true,2000,BOTH,0,0
ADKHBBULK/RORO03,ADKH,BBULK/RORO,ADKHBBULK/RORO03,true,0,99999,1968,50,35,800,60,true,2000,BOTH,0,0
ADKHGENERAL PU01,ADKH,GENERAL PURP,ADKHGENERAL PU01,true,0,99999,1968,50,35,800,60,true,2000,BOTH,0,0
MLWYBBULK/RORO01,MLWY,BBULK/RORO,MLWYBBULK/RORO01,false,0,99999,1807,50,26,800,60,true,2000,BOTH,0,0
MLWYBBULK/RORO02,MLWY,BBULK/RORO,MLWYBBULK/RORO02,false,0,99999,2100,50,26,800,60,true,2000,BOTH,0,0
MLWYGENERAL PU01,MLWY,GENERAL PURP,MLWYGENERAL PU01,false,0,99999,1722,50,26,800,60,true,2000,BOTH,0,0
LYTMJLOTS     01,LYTM,JLOTS,LYTMJLOTS     01,true,0,99999,3000,50,40,800,60,true,500,BOTH,0,0
